Course	Subject	Room	Teacher	Time	Students
1	BIOL1	PK338	1	14	1 67 122 151 270 320 340 355 359 397 417 422 447 455 483 507 596 621 627 683 685 721 750 768 779 780 783 791 797 812 848 923 928 933 986 1000 1072 1078 1087 
2	MATH1	PK338	2	2	2 51 82 87 108 122 148 341 406 411 412 426 432 435 440 459 524 545 570 578 583 586 592 614 617 635 645 654 669 681 689 692 698 700 708 709 713 723 725 728 734 744 754 764 769 777 784 796 797 800 802 809 811 814 821 823 832 835 841 854 856 857 866 870 872 887 888 889 897 898 899 901 906 908 913 914 917 918 927 930 936 939 941 951 952 954 955 957 964 965 973 976 978 981 984 992 997 998 999 1004 1016 1017 1021 1023 1025 1041 1043 1048 1049 1050 1052 
3	SOCL3	TH104	3	13	3 9 12 202 266 283 326 365 414 564 771 
4	SOCL3	PK229	3	7	3 31 103 117 123 128 154 244 509 
5	ENGL2	DAL204	4	3	4 71 93 161 165 185 208 229 242 319 329 406 433 531 547 731 994 
6	HART2	DAL204	5	9	5 14 205 214 325 330 403 408 447 508 570 587 645 703 774 1078 
7	HIST3	TH104	6	15	5 40 47 51 122 133 148 166 192 202 352 
8	POLS1	TH110	7	3	6 167 236 356 394 434 552 560 571 586 589 595 616 648 685 688 694 728 813 822 836 912 955 958 1005 1026 1054 1087 1093 
9	PHIL2	PK229	8	8	7 99 258 360 475 514 706 727 762 1086 
10	PSYC2	PK25	9	9	7 33 76 110 225 234 289 327 376 387 434 446 487 555 635 674 716 727 743 827 1096 
11	PSYC2	PK25	10	7	7 26 44 55 120 125 178 199 234 237 327 376 396 425 433 446 460 467 505 512 665 1086 
12	FREN1	PK25	11	16	8 19 377 523 592 645 680 695 700 733 779 792 800 869 884 951 980 987 1077 
13	GEOL1	TH110	12	7	10 100 111 153 198 473 539 561 615 637 648 649 654 668 711 715 735 746 762 785 786 813 833 847 852 856 912 942 969 1044 
14	LATN3	PK336	13	1	10 123 182 
15	ANTH3	TH110	14	17	11 29 39 72 101 151 163 222 252 256 298 313 328 337 344 401 404 426 455 458 461 469 536 538 558 
16	ANTH3	DAL204	14	10	11 19 29 39 56 58 101 151 163 222 256 298 313 328 337 344 558 
17	BIOL3	GIL210	15	2	11 42 229 301 558 
18	CITY2	TAYF	16	5	11 70 91 97 267 364 
19	ITAL1	PK25	17	10	12 341 443 489 510 609 612 621 649 655 660 670 694 705 707 708 723 766 790 861 886 
20	SOCL3	TAYF	18	6	12 117 222 238 326 414 
21	SOCL3	TAYF	18	7	12 222 238 326 414 
22	PHYS3	TH104	19	16	13 215 312 383 384 448 456 516 541 666 
23	PHYS3	TH104	20	3	13 45 60 118 171 184 296 383 384 448 456 516 
24	HART3	PK229	21	9	96 109 152 212 310 
25	HIST2	PK229	22	10	15 24 60 174 226 336 480 725 948 
26	MATH1	PK338	2	15	15 131 137 159 208 212 257 287 289 321 408 458 489 551 566 593 596 597 636 641 644 647 673 689 707 715 766 772 776 781 826 840 874 916 961 982 1001 1032 1098 
27	BIOL2	DAL204	23	16	16 59 78 129 137 145 196 230 255 263 273 299 490 513 559 802 
28	BIOL2	PK25	24	1	16 43 58 66 121 137 163 251 255 288 290 319 366 412 419 450 480 595 612 726 830 971 1008 
29	CHEM2	PK338	25	13	16 53 255 257 273 316 338 435 450 463 510 511 529 530 545 546 562 582 598 601 604 611 613 619 622 625 632 633 642 656 665 732 741 748 751 756 760 790 793 834 1024 
30	ECON1	PK338	26	5	16 244 325 369 421 427 498 501 519 520 543 552 562 570 576 580 587 588 607 613 631 680 688 693 700 712 721 747 752 769 770 788 792 815 837 852 858 866 876 880 882 890 937 939 945 959 965 966 979 989 996 1000 1002 1006 1026 1034 1037 1041 1042 1043 1045 1046 1049 1058 1060 1061 1063 1067 1074 1081 1090 1093 
31	ARTW2	TH104	27	17	17 94 156 378 407 418 437 534 622 629 776 
32	GNST2	PK336	28	2	17 62 668 
33	POLS3	DAL204	29	11	17 62 64 67 141 152 208 245 248 251 261 284 287 323 329 517 670 
34	ECON3	DAL204	30	17	18 37 74 92 143 150 155 192 203 277 305 324 410 424 484 502 
35	FREN3	PK229	31	11	18 130 134 158 217 218 400 714 
36	MATH3	TH110	32	10	18 36 47 54 79 85 92 124 136 191 220 286 304 305 363 367 369 376 386 456 464 478 487 516 520 553 598 714 853 
37	ANTH2	TH104	33	4	19 39 97 256 281 315 344 347 423 440 575 
38	LATN0	PK229	34	15	20 699 774 787 806 895 
39	POLS2	TH104	35	5	20 394 418 471 589 670 762 774 778 
40	ANTH2	PK338	36	16	21 33 73 98 100 126 153 169 170 190 239 337 338 347 373 375 381 387 388 404 426 432 436 449 455 479 536 548 581 602 624 630 669 675 685 704 790 860 
41	BIOL2	TH110	37	14	21 39 53 194 239 285 316 322 338 358 368 379 380 391 394 404 450 461 466 495 558 613 708 842 860 1008 
42	BIOL3	PK180	38	15	21 104 219 239 246 292 379 388 394 469 513 860 
43	EDUC3	PK243	39	5	22 289 319 
44	ENGL3	PK180	40	6	22 28 110 142 147 156 187 204 265 306 321 332 451 564 846 
45	CSTS1	DAL204	34	12	23 26 161 203 350 423 438 475 497 533 561 647 787 860 915 983 1024 
46	POLS3	PK180	41	8	143 150 200 353 409 517 670 749 801 
47	POLS3	PK25	7	8	23 25 34 49 64 81 82 108 112 140 141 173 179 210 245 261 264 272 282 284 329 
48	ANTH2	PK229	42	12	24 153 176 256 370 381 469 538 551 803 
49	ARCH2	TAYF	43	8	24 146 232 781 826 1007 
50	ARCH3	GIL210	44	3	24 88 100 533 566 826 
51	ARTF3	CARP21	45	8	27 78 114 278 442 
52	CITY2	TAYF	46	9	27 85 295 312 464 591 
53	BIOL3	TH104	38	6	59 72 127 128 193 223 230 263 299 322 499 
54	PHYS1	TH110	47	15	28 218 230 252 343 358 391 401 402 404 415 416 436 466 478 496 499 624 650 682 712 734 808 832 1008 1080 
55	ARTF1	PK229	45	16	29 157 220 249 297 403 1030 
56	ARTF1	CARP21	45	9	29 86 157 220 249 297 1030 
57	GEOL3	PK336	48	3	29 42 301 
58	BIOL3	CARP21	49	10	30 72 104 121 246 288 349 
59	HIST2	PK180	50	1	32 99 152 336 445 457 468 549 550 565 617 687 741 834 
60	HART3	PK229	51	1	79 96 109 214 310 330 371 437 447 845 
61	PSYC2	PK180	52	9	74 120 178 409 460 467 505 537 601 739 1041 
62	POLS3	PK336	35	4	34 323 
63	SPAN0	PK338	53	7	34 266 316 354 428 431 490 492 496 506 551 570 584 586 587 608 614 618 629 632 633 659 666 671 681 688 691 739 742 751 773 794 798 820 825 840 846 858 865 868 872 874 885 888 903 916 923 926 932 935 946 953 960 961 965 967 978 994 996 1006 1010 1025 1039 1047 
64	CHEM3	PK180	54	16	35 69 86 124 131 144 168 172 207 234 317 556 
65	MATH3	TH110	55	8	35 36 45 46 79 85 127 136 144 181 189 191 203 216 304 305 331 335 367 369 381 386 398 430 456 516 533 553 557 574 640 
66	FREN2	CARP21	56	11	37 366 437 493 575 818 995 
67	ITAL2	PK243	17	6	37 242 989 
68	ARTW2	PK229	57	13	38 87 204 241 374 379 430 505 637 905 
69	HIST2	PK180	58	17	40 107 195 293 352 383 523 550 577 667 962 1042 
70	CITY2	PK25	59	4	41 50 209 258 387 464 474 477 488 491 519 522 576 591 632 672 691 723 758 828 863 
71	CITY3	DAL204	60	13	41 50 66 91 94 97 106 107 165 176 198 205 243 267 287 357 
72	ECON2	TH104	61	7	41 135 245 254 262 304 497 515 571 694 744 
73	BIOL3	PK336	15	5	42 174 449 
