Course	Room	Teacher	Time	Students
1	PK243	1	6	159 197 216 224 254 364 492 508 669 
2	PK338	2	6	1 211 441 482 518 561 567 587 588 608 620 630 635 651 657 675 677 695 735 750 756 797 799 803 805 806 813 824 831 833 841 843 844 847 857 859 893 902 922 941 942 946 948 951 955 958 959 969 970 972 981 987 1002 1017 1019 1035 1037 1038 1051 1055 1073 1074 1075 1079 1085 1088 1095 1114 1119 
3	TH110	3	12	1 21 44 71 89 142 217 254 259 283 310 369 434 455 534 672 675 722 805 830 1072 
4	TAYF	4	16	2 229 297 312 356 400 
5	EHLEC	5	14	3 47 268 448 496 542 818 
6	TH110	6	15	4 63 82 107 119 138 195 216 347 349 440 481 511 610 645 691 695 715 771 791 870 874 889 1113 
7	PK338	7	10	5 71 351 369 404 464 467 490 534 585 587 607 629 644 651 652 666 682 683 690 691 695 707 722 731 737 738 743 746 760 779 789 799 823 831 864 872 875 911 915 924 934 944 984 1014 1015 1016 1020 1022 1059 1060 1063 1081 1094 
8	PK338	8	12	5 159 288 311 355 358 387 404 417 423 431 487 490 492 515 521 571 584 595 613 614 616 624 650 652 669 688 690 691 693 705 706 707 719 728 734 737 739 751 758 762 780 795 804 827 839 864 910 944 1105 
9	GOB	9	4	6 98 102 275 320 437 462 
10	TH224	10	17	7 45 108 132 187 190 293 329 366 473 560 592 636 697 814 938 943 
11	PK25	11	10	7 23 151 263 276 281 308 417 425 477 506 539 548 549 558 759 
12	TH104	12	5	25 135 239 
13	EHLEC	13	5	8 161 266 295 319 378 485 865 
14	PK338	14	13	9 10 11 15 17 18 19 32 41 43 51 53 54 68 72 77 79 85 87 93 100 133 136 143 145 147 149 153 157 161 167 184 199 203 221 237 242 289 290 321 328 389 
15	PK25	15	3	9 402 485 504 602 699 701 709 734 747 799 837 850 867 872 874 880 977 
16	PK349	16	14	10 19 43 85 157 363 376 382 500 538 680 
17	TH110	17	6	10 76 115 296 355 362 496 501 517 531 541 560 592 604 607 610 670 701 704 745 767 769 839 855 913 943 944 957 1120 1125 
18	PK349	18	2	10 18 33 73 77 87 100 133 147 153 200 203 282 
19	GOB	19	10	11 46 98 143 213 225 277 
20	TH110	20	5	11 143 146 213 304 350 352 425 439 456 473 490 493 529 571 604 606 655 725 737 746 747 768 769 803 835 842 951 
21	TH104	21	12	12 164 314 
22	PK243	22	14	12 33 67 130 138 270 289 331 340 602 670 
23	PK349	23	15	13 27 79 172 201 260 378 495 556 739 754 804 
24	GOB	24	12	13 37 73 80 220 287 
25	GOB	25	14	13 327 409 545 558 611 
26	TH224	26	6	14 345 586 650 662 664 705 723 748 762 817 919 934 
27	TH110	27	7	15 32 45 54 157 167 221 252 366 374 400 425 457 471 499 509 537 574 671 692 832 891 894 910 964 
28	PK349	28	16	15 147 177 282 534 545 559 671 684 760 903 
29	PK25	29	4	15 26 45 221 246 268 305 319 322 362 411 486 613 724 759 786 833 877 932 
30	GOB	30	15	16 258 317 426 740 742 
31	PK243	31	17	16 33 238 409 488 503 528 535 583 590 783 
32	PK349	32	17	17 68 143 221 299 402 407 457 499 661 809 821 1106 
33	PK243	33	3	17 63 73 103 202 297 299 389 390 537 730 742 952 
34	PK338	34	11	18 36 126 197 346 349 372 373 391 406 415 482 524 529 542 603 607 616 635 661 677 679 689 696 698 704 708 725 746 754 760 767 804 819 830 880 889 891 892 898 913 917 923 958 970 976 979 982 1010 1073 1078 
35	PK25	35	6	18 50 75 79 120 163 172 195 201 231 293 310 372 378 385 504 540 
36	PK25	34	12	18 27 34 50 75 104 120 152 162 163 172 195 201 260 272 322 
37	TAYF	36	17	19 63 85 112 646 765 
38	PK349	33	8	19 79 100 167 199 289 376 389 399 414 483 
39	PK243	37	16	20 37 182 183 231 234 411 453 477 524 756 
40	PK338	38	4	20 83 86 156 206 212 237 256 335 419 428 446 460 465 469 470 489 493 518 520 521 563 581 582 588 603 611 614 653 676 692 702 703 734 743 773 775 776 783 788 791 792 800 824 828 835 843 883 926 980 983 993 1020 1031 1032 1033 1036 1039 1048 1050 1055 1057 1064 1071 1091 1092 1101 1105 1108 1115 1117 
41	CARP21	39	8	20 211 
42	PK243	40	7	22 173 407 530 553 599 601 645 741 933 965 
43	TH110	41	10	22 89 103 109 193 253 315 318 329 355 358 362 422 423 424 453 459 533 580 584 612 649 697 701 749 839 1055 1120 
44	PK25	42	9	22 76 94 109 118 119 134 198 241 293 296 329 362 383 424 473 840 
45	PK25	43	15	24 236 295 370 382 438 442 505 513 533 590 601 602 676 692 698 712 808 828 867 1067 
46	PK25	44	2	24 156 182 339 440 451 574 588 659 662 663 687 703 815 850 852 904 927 938 
47	PK338	43	17	24 35 62 66 78 81 84 86 92 110 113 121 130 138 139 170 179 189 191 208 215 228 237 240 247 264 267 270 300 305 307 309 314 323 513 
48	PK180	45	11	24 175 331 336 505 557 579 602 662 674 742 775 786 822 876 
49	TH104	40	14	25 435 710 
50	EHLEC	46	4	529 534 561 657 689 753 829 857 
51	TH110	47	11	26 145 205 210 254 288 304 316 343 375 390 395 397 408 428 431 449 488 514 539 544 598 647 717 761 
52	GOB	29	7	26 123 128 174 244 246 319 821 
53	PK25	48	5	27 126 182 204 245 276 314 385 426 429 442 475 508 516 530 651 718 762 797 
54	TH224	49	2	28 354 367 412 437 521 532 611 658 685 698 709 736 768 814 857 
55	TH104	49	17	476 622 
56	PK338	50	9	28 60 77 88 90 97 127 176 215 248 265 269 281 289 321 337 339 360 361 381 396 434 445 458 471 509 546 553 555 568 597 599 652 656 659 663 674 694 696 710 738 739 752 787 794 810 822 837 866 876 882 887 890 897 925 992 1005 1023 1026 1103 
57	EHLEC	51	17	28 114 140 284 287 388 416 426 444 
58	TH224	52	16	29 58 103 209 218 250 259 311 330 364 391 449 466 474 475 495 507 508 594 761 
59	PK180	53	8	29 95 209 250 275 330 364 391 434 466 475 495 507 508 594 
60	CARP25	46	13	30 387 467 
61	CARP25	54	12	30 202 279 
62	PK243	25	1	30 90 122 141 168 169 379 458 509 530 552 596 810 
63	PK338	15	14	31 78 83 135 314 469 530 556 621 622 627 666 765 793 802 823 863 878 887 902 905 906 914 918 923 928 945 983 988 990 996 1010 1012 1035 1048 1083 1092 1100 1111 1112 1116 1122 
64	TH110	55	17	31 39 175 246 319 320 354 609 708 778 797 811 860 863 871 873 912 945 963 967 975 1008 1053 1056 1100 
65	PK336	13	1	31 128 162 239 583 696 
66	PK180	56	12	32 350 354 458 570 586 632 633 639 667 818 867 911 1069 
67	GOB	57	17	331 340 352 496 662 
68	TH110	58	8	34 474 504 519 793 801 809 811 820 823 842 860 861 878 898 905 909 965 967 973 1004 1021 1044 1094 1098 1106 
69	PK336	59	4	34 272 373 406 504 
70	PK25	60	16	35 110 130 132 176 271 318 326 514 553 627 656 659 732 800 807 982 990 1041 1056 
71	PK180	43	6	35 47 78 110 113 139 179 240 247 264 270 300 307 323 513 
72	GOB	61	13	35 39 48 84 107 225 226 
73	PK336	34	7	36 40 373 414 819 
74	CARP25	31	5	36 187 577 994 
75	TH110	62	1	36 93 118 146 242 361 396 402 477 506 537 549 557 590 673 783 855 957 965 989 992 999 1011 1034 1049 1050 1069 1070 1098 
76	PK336	63	14	38 49 69 169 302 306 
77	TH224	63	8	38 306 320 562 763 790 908 942 954 991 1097 1127 
78	PK336	64	2	38 145 306 476 555 591 
79	TH104	65	9	39 48 83 225 
80	TH104	38	1	40 47 75 165 176 
81	PK338	66	15	40 59 341 629 680 805 806 816 831 833 837 841 872 882 922 927 932 946 952 955 972 981 987 997 1001 1003 1016 1026 1038 1041 1059 1061 1064 1065 1068 1071 1091 1100 1108 1115 
82	TH110	67	14	41 77 177 178 332 350 351 397 419 432 438 471 536 572 593 683 716 747 794 845 1030 1044 1087 1107 
83	PK180	68	1	41 53 63 100 119 149 282 321 376 389 512 574 597 687 715 716 1086 
84	GOB	69	1	42 91 159 318 337 365 418 429 748 
85	PK243	70	8	43 51 53 188 253 281 290 450 510 578 681 759 
86	CARP25	71	14	44 294 403 
87	PK349	72	12	117 135 186 294 347 348 433 439 536 
88	CARP21	73	1	44 52 117 
89	PK349	74	13	44 127 134 141 183 190 383 388 394 543 
90	PK25	58	1	46 150 196 227 251 255 269 274 288 342 343 375 377 380 390 395 428 446 461 472 488 526 542 647 653 
91	PK180	47	14	46 66 99 121 124 125 150 196 207 210 227 274 295 
92	TH224	75	12	47 479 738 755 812 1011 1021 1096 1119 
93	CARP25	76	6	49 155 214 
94	PK349	27	9	51 54 203 252 332 400 526 536 
95	PK349	77	5	52 55 114 131 148 160 171 219 261 284 291 324 
96	EHLEC	78	15	52 117 261 298 784 888 916 920 940 
97	PK180	59	2	52 148 155 160 171 219 260 261 284 291 324 334 552 667 689 756 776 
98	CARP21	73	11	55 
99	EHLEC	71	7	55 261 455 656 906 914 921 958 
100	PK180	79	4	56 92 114 140 223 229 257 282 370 378 457 483 516 569 583 646 671 755 
101	TH110	80	4	57 66 99 124 125 150 178 205 217 227 233 249 255 273 295 304 342 357 359 377 380 397 408 448 449 472 514 526 539 544 727 763 
102	PK180	81	13	58 252 462 575 617 729 745 798 852 940 947 1003 1028 
103	TH104	82	6	59 71 112 834 835 
104	PK243	83	10	59 70 78 113 114 215 497 522 531 686 817 880 
105	PK349	50	10	60 88 106 322 368 379 384 410 432 458 586 
106	PK336	84	15	60 90 280 381 678 835 
107	PK243	85	9	61 179 331 414 422 532 550 741 775 886 939 
108	PK336	86	6	61 548 683 874 988 
109	PK180	46	15	64 310 365 430 453 477 498 524 567 580 644 677 734 840 
110	CARP25	87	4	64 94 224 840 
111	TH110	88	2	65 252 350 740 741 774 796 812 860 901 912 913 929 947 974 975 976 978 989 995 998 1016 1082 1104 
112	EHLEC	72	16	65 455 639 706 726 856 918 1090 1121 
113	TH104	11	2	68 151 243 263 276 308 
114	EHLEC	89	8	69 206 522 550 633 660 711 1046 
115	GOB	90	2	70 97 101 129 317 480 775 
116	CARP21	91	9	71 369 
117	TH224	18	13	73 443 473 720 750 763 847 961 1006 
118	PK336	92	8	74 189 371 494 703 
119	PK180	31	16	75 104 120 263 308 322 427 488 525 681 851 853 854 897 
120	TH104	93	15	80 220 283 
121	PK180	30	7	81 230 247 354 391 436 443 464 511 569 646 684 720 735 1029 
122	CARP21	93	12	81 416 1102 
123	PK349	94	1	81 84 88 92 110 191 240 264 268 305 339 452 460 
124	TH104	37	3	83 165 192 231 234 248 
125	TAYF	61	10	84 208 470 802 838 1053 1106 
126	TH110	4	9	85 128 247 325 352 374 454 500 516 571 578 596 601 626 630 657 682 683 720 742 764 773 788 815 824 842 980 
127	PK336	95	16	88 106 144 154 168 194 
128	PK25	96	8	89 115 132 187 203 388 422 423 424 436 501 541 548 600 612 644 768 822 839 
129	TH104	96	11	89 253 803 
130	CARP25	97	16	90 
131	PK243	54	2	91 142 180 202 238 279 310 318 418 429 430 728 749 
132	PK243	98	5	91 165 316 392 395 405 512 685 728 785 832 836 858 
133	PK25	98	7	91 124 223 316 327 336 392 393 404 420 452 498 512 513 514 546 551 
134	PK349	99	11	92 129 158 177 257 258 278 317 325 489 
135	TH104	62	4	93 154 169 506 
136	PK243	100	4	96 168 262 265 410 491 556 649 846 1067 
137	TH104	101	7	96 199 262 556 
138	PK338	102	5	97 101 170 236 286 396 417 424 434 450 481 482 501 528 533 537 553 568 574 585 588 592 605 610 672 674 675 707 713 719 729 744 753 755 760 770 771 772 786 787 791 795 805 855 866 876 893 915 922 924 969 970 979 997 1002 1011 1018 1036 1039 1051 1064 1065 1066 1071 1079 1087 1088 1093 1102 1107 
139	PK243	103	12	99 124 125 336 372 420 421 484 546 575 732 848 
140	GOB	104	5	121 189 194 215 300 309 360 
141	PK349	59	3	104 148 155 219 271 334 367 373 403 406 562 778 819 
142	CARP25	59	7	104 273 522 580 
143	GOB	105	9	105 116 170 213 233 235 249 275 
144	PK180	106	9	107 147 157 184 287 407 479 503 593 627 661 701 729 744 1041 
145	TH110	59	13	108 511 570 616 621 622 626 631 640 667 707 726 784 869 892 906 907 916 923 930 935 953 985 1077 1090 1116 1121 
146	EHLEC	107	6	111 125 135 245 312 368 371 625 666 
147	TAYG	36	9	112 
148	PK338	66	2	112 285 405 444 450 454 469 493 561 562 571 576 579 581 596 605 608 624 628 634 636 654 666 679 684 690 699 732 738 747 754 770 772 780 785 800 813 817 826 838 848 856 859 873 879 881 884 885 893 894 899 900 907 908 916 917 918 924 926 936 939 941 948 949 950 953 956 959 961 964 968 969 979 983 984 992 996 1000 1006 1009 1012 1013 1014 1015 1017 1019 1020 1025 1035 1037 1043 1047 1048 1057 1060 1062 1063 1067 1073 1074 1076 1078 1079 1080 1081 1085 1087 1088 1096 1097 1099 1101 1102 1103 1111 1114 1116 1117 1121 1123 
149	PK338	108	8	113 140 346 356 438 505 517 527 563 584 608 613 655 663 668 702 737 781 807 826 844 870 883 895 930 936 956 957 962 966 972 987 994 1005 1009 1013 1014 1017 1019 1023 1026 1038 1040 1045 1054 1056 1061 1062 1067 1074 1075 1077 1080 1084 1101 1114 1117 1119 1120 1125 1126 
150	PK25	109	13	116 121 196 232 255 342 343 353 375 395 468 502 514 526 615 650 717 723 751 757 766 779 1084 
151	CARP25	110	8	117 348 455 464 
152	CARP21	18	5	123 210 589 
153	TH104	111	10	126 543 643 1126 
154	EHLEC	48	11	127 437 794 853 867 998 1013 1018 
155	EHLEC	97	9	130 156 371 494 505 551 785 1072 
156	PK349	112	4	131 148 155 160 171 219 271 291 334 552 856 861 
157	TAYF	113	5	134 544 1058 
158	PK243	103	13	445 512 549 554 576 648 711 712 752 836 845 
159	PK180	78	17	137 156 348 433 564 565 573 644 784 815 836 940 1109 
160	TAYF	6	11	138 263 345 402 413 427 606 
161	TH110	24	16	141 206 352 463 538 610 611 617 619 642 660 680 702 764 786 792 795 849 934 936 993 1023 1024 1039 1066 1108 
162	PK349	114	7	152 554 620 732 868 941 954 1037 1097 1111 
163	PK243	33	15	152 206 229 363 454 457 526 527 745 788 
164	PK336	56	17	154 398 401 410 467 493 
165	TH224	73	15	154 700 862 881 892 907 910 964 982 985 1008 1028 1072 1085 
166	CARP21	33	14	158 559 
167	GOB	49	3	160 212 433 633 750 890 1044 1069 
168	CARP25	22	9	164 305 1028 
169	CARP25	84	2	166 361 997 
170	CARP21	13	13	168 1027 
171	CARP25	114	15	169 197 302 
172	TH224	99	3	171 436 439 444 535 550 565 631 696 710 903 905 998 1010 1104 1112 
173	TH224	61	4	173 418 479 499 540 587 634 652 693 738 812 865 984 1059 1095 
174	PK336	13	3	174 180 186 371 506 
175	PK25	115	11	176 267 393 452 468 480 484 498 513 551 554 560 576 648 711 752 766 779 877 
176	EHLEC	71	2	181 254 298 338 403 464 564 612 726 
177	PK338	116	3	183 188 253 259 269 286 298 311 330 353 359 441 442 445 459 484 498 502 515 528 554 567 575 585 595 615 620 623 637 638 648 668 669 675 686 694 705 712 721 722 723 727 735 736 743 746 751 763 764 773 807 825 827 830 836 846 852 862 875 904 919 931 933 935 937 960 1031 1033 1075 1083 1089 1122 
178	TAYF	89	2	184 550 618 626 673 1107 
179	CARP21	117	15	185 
180	CARP25	111	11	185 301 341 1126 
181	CARP21	46	17	186 292 540 
182	EHLEC	118	10	186 187 218 394 481 775 1057 
183	PK349	119	6	188 286 442 462 515 623 637 668 736 773 829 858 1031 1084 
184	GOB	120	8	222 265 437 449 462 761 
185	TAYF	121	7	189 506 
186	GOB	91	16	195 632 869 927 933 999 
187	EHLEC	95	13	200 271 348 379 384 401 552 754 
188	PK336	45	9	206 212 256 413 777 
189	CARP21	98	10	207 245 
190	PK180	122	10	211 214 230 236 255 273 753 803 857 877 889 930 988 995 1093 
191	TH104	123	16	214 
192	TAYG	33	6	217 278 
193	TAYG	124	17	219 232 
194	TAYF	125	14	223 336 338 393 560 577 674 
195	TAYG	126	8	223 
196	EHLEC	90	1	229 408 422 646 655 671 691 725 1027 
197	TH224	127	14	232 337 343 491 533 569 846 1061 
198	EHI	104	4	240 
199	PK338	128	16	241 416 566 623 637 640 641 669 714 827 841 882 898 900 909 911 921 925 952 955 963 967 1001 1003 1007 1015 1022 1025 1029 1030 1032 1049 1070 1078 1081 1113 1123 1124 
200	GOB	74	11	248 279 430 453 518 728 750 756 
