Course	Subject	Room	Teacher	Time	Students
1	FREN3	PK336	1	13	1 177 745 
2	MATH1	PK25	2	2	2 3 14 112 126 165 201 288 291 311 328 360 390 403 414 435 449 450 461 464 465 467 499 502 527 535 539 572 576 589 591 595 598 604 618 622 625 631 635 654 669 671 689 691 696 712 716 731 736 738 739 741 744 745 754 773 776 783 794 801 803 804 805 811 819 823 843 851 857 862 
3	PHYS1	TH110	3	6	2 353 532 564 797 861 872 884 920 929 954 961 966 995 1009 1029 
4	SPAN0	PK25	4	11	2 87 198 240 403 553 570 576 591 711 724 731 748 766 777 786 817 823 861 862 864 885 904 910 913 934 943 955 974 1016 1025 1027 1035 1037 1042 1052 1058 1062 1065 1069 1075 1078 1088 1089 
5	ECON2	PK338	5	6	3 30 118 258 311 349 369 513 538 661 668 689 696 795 802 841 844 882 927 1034 1055 1083 
6	ECON2	GIL210	6	8	3 52 108 156 238 358 417 514 661 707 801 806 848 879 
7	SPAN2	TAYG	7	2	590 709 814 826 
8	PHIL1	PK25	8	14	4 16 95 216 310 328 356 359 363 397 401 432 486 581 590 600 604 610 611 647 666 753 763 777 897 900 911 936 946 950 953 958 960 1013 1017 1041 1053 1054 1067 1068 
9	EAST2	TAYD	9	16	4 11 65 86 428 1022 
10	CMSC2	PK336	10	14	5 325 755 
11	PSYC3	TAYD	11	17	6 27 79 183 203 269 
12	PHIL2	DAL204	12	8	6 10 38 83 85 98 113 132 137 141 144 147 166 168 202 263 278 300 302 319 322 353 373 393 397 401 473 475 683 694 812 
13	EDUC3	TAYD	13	7	6 27 79 243 270 
14	SOCL3	GIL210	14	9	7 8 18 58 78 111 157 165 167 172 197 292 313 
15	PHIL2	TAYG	15	13	8 464 611 733 
16	BIOL2	PK338	16	9	9 23 57 100 164 212 225 391 411 465 473 526 548 554 595 617 657 701 702 784 808 842 
17	BIOL3	PK338	17	11	10 85 114 137 154 207 221 268 295 350 361 363 374 393 398 516 564 761 
18	CSEM0	PK25	18	1	10 403 416 461 486 502 524 532 535 544 576 577 581 585 618 632 644 671 710 711 712 713 714 715 716 717 718 719 720 721 722 723 724 725 726 727 728 736 748 750 758 774 781 783 786 793 799 805 811 818 819 822 823 825 826 829 830 832 834 837 838 843 849 850 857 858 860 861 864 867 
19	POLS1	DAL204	19	14	10 26 249 274 286 297 413 418 444 472 507 533 644 652 691 833 880 889 904 910 914 943 967 980 1009 1034 1071 1079 
20	PHIL3	PK336	18	15	11 267 816 
21	PHIL3	TAYG	20	3	11 71 235 276 307 355 
22	ANTH2	TAYG	21	14	12 72 873 934 
23	ARCH2	TH110	22	7	12 43 68 127 187 228 316 408 503 513 555 605 739 802 820 
24	ARCH3	PK229	23	13	12 42 72 76 120 228 239 282 299 
25	BIOL1	PK25	24	6	13 35 117 168 280 291 310 328 373 383 386 424 440 444 504 515 530 533 543 546 558 566 588 598 605 618 631 642 647 654 669 681 683 694 704 705 706 751 754 758 762 766 768 784 791 806 810 819 829 832 834 855 862 874 889 902 909 917 955 964 968 972 990 1051 1059 1076 
26	CHEM2	PK25	25	12	13 35 315 328 369 388 391 411 419 430 439 454 459 543 548 558 566 588 591 596 617 630 647 651 663 665 677 680 681 694 697 701 705 738 742 768 796 850 852 866 956 977 985 1008 
27	PHYS1	PK25	26	16	13 35 126 142 163 164 194 292 327 342 350 361 363 379 398 422 468 475 479 493 516 520 591 596 630 636 642 651 665 697 742 762 765 778 796 808 852 863 866 
28	FREN2	PK338	27	14	15 20 42 138 329 336 381 448 492 515 522 566 608 617 639 729 853 1012 1055 
29	MATH3	PK338	28	7	15 63 109 139 161 163 242 248 253 263 265 281 351 372 425 441 474 476 501 540 573 680 847 
30	MATH3	PK338	29	12	15 38 63 82 113 132 139 147 161 190 242 250 253 263 265 301 322 474 573 
31	ANTH2	DAL204	30	11	16 36 47 61 89 100 125 130 194 205 211 227 315 348 378 391 397 408 512 528 537 548 567 575 583 592 605 659 751 803 
32	ENGL2	PK229	31	14	17 21 74 102 140 289 529 539 632 
33	SOCL3	TH110	14	2	18 53 65 172 191 197 209 249 292 313 368 395 437 478 545 557 
34	SOCL3	PK229	32	7	18 51 53 111 181 322 340 368 494 523 
35	ARTD1	TAYG	33	4	19 227 481 726 1031 
36	ARTD3	TAYG	34	15	19 147 777 893 1004 
37	EDUC3	PK243	35	14	124 186 253 
38	PSYC2	DAL204	11	9	21 70 97 123 137 209 227 270 354 387 389 390 400 410 433 450 456 460 608 669 680 695 737 740 763 817 831 927 
39	CITY2	TH110	36	15	22 246 416 452 458 547 574 614 637 775 827 942 1044 
40	ECON2	TAYF	37	1	22 37 70 262 304 349 844 
41	ECON3	PK229	6	9	22 37 55 417 422 498 513 534 
42	ECON3	PK243	6	15	55 166 225 
43	HART3	PK180	38	1	23 29 49 129 155 162 196 199 211 257 272 300 438 
44	HART3	TH110	39	16	23 73 77 99 103 155 196 204 210 211 257 272 300 567 
45	GERM2	PK336	40	16	24 59 149 
46	HIST2	PK229	41	8	24 180 387 410 421 530 647 679 962 1078 
47	CITY2	GIL210	42	10	25 39 51 173 246 256 396 451 452 489 547 664 687 
48	COML3	TAYG	43	5	25 88 112 121 251 323 
49	SPAN3	PK229	7	15	25 46 100 107 173 250 275 296 484 
50	ARTW3	PK229	44	16	26 69 106 121 158 389 717 810 964 
51	ENGL2	TH110	45	8	28 107 121 226 236 382 447 449 455 565 584 640 706 793 1087 
52	POLS3	PK338	46	10	28 33 52 69 92 101 108 156 182 189 254 276 304 324 339 385 469 483 491 510 559 879 
53	HIST2	DAL204	47	12	29 58 75 78 109 180 183 216 222 281 306 334 348 380 387 409 453 456 460 484 509 536 595 609 628 652 813 856 967 1030 
54	SPAN3	TAYG	48	16	31 111 184 225 290 
55	HIST2	TH110	47	17	32 62 215 298 380 400 411 448 528 593 705 840 878 962 
56	HIST3	TAYF	47	2	88 171 184 216 488 582 
57	SOCL2	PK180	49	2	32 78 266 285 346 352 570 663 681 743 839 
58	HIST3	TAYF	50	3	32 62 83 146 245 759 
59	FREN2	PK336	1	17	33 681 737 
60	POLS3	TH110	19	3	33 99 103 105 176 184 259 318 356 385 457 467 469 471 491 554 569 
61	POLS3	DAL204	46	5	33 44 69 75 77 84 92 94 99 101 103 108 156 160 173 176 177 218 240 241 252 254 278 297 298 304 306 324 469 474 491 556 879 
62	BIOL3	TAYE	51	11	34 
63	PSYC2	TH110	52	9	34 79 114 183 274 308 470 527 631 655 688 733 800 892 979 1088 
64	ANTH2	DAL204	53	16	36 45 47 91 120 134 151 154 185 191 214 217 220 229 295 302 305 528 599 629 631 645 741 883 
65	ANTH3	TAYD	54	8	36 91 148 354 376 526 667 745 
66	ANTH3	GIL210	54	11	45 91 127 151 185 214 217 220 229 302 305 376 
67	ARTT2	TAYF	55	4	37 237 611 794 867 901 
68	POLS2	TH110	15	10	37 218 332 413 418 472 534 626 643 757 804 987 1061 1069 1087 
69	POLS3	TAYD	56	9	105 160 193 252 285 413 427 
70	MATH3	DAL204	57	6	38 63 82 121 127 147 161 163 189 248 265 279 293 294 299 301 314 322 335 345 351 385 394 412 441 466 474 493 496 540 587 847 
71	BIOL1	PK25	58	13	39 140 244 248 286 296 331 366 376 384 392 396 434 445 447 450 457 482 488 571 613 621 626 649 653 656 661 666 673 700 732 743 749 788 804 822 859 880 882 962 1065 
72	CITY3	GIL210	59	12	39 56 57 64 80 81 110 119 175 212 224 246 247 280 
73	HART3	TAYG	60	17	39 164 407 427 567 
74	HART2	PK180	38	6	40 106 162 170 174 256 303 367 563 567 821 931 
75	ENGL2	PK338	61	5	40 50 285 406 427 437 455 529 606 621 648 656 674 695 700 721 740 763 780 789 807 824 1047 
76	ENGL3	GIL210	62	13	40 56 64 66 96 102 122 195 212 237 277 323 584 
77	CITY1	PK25	59	17	41 284 382 402 416 426 466 517 551 570 574 577 614 628 690 735 756 769 786 794 807 810 813 815 827 829 838 857 864 865 886 906 909 925 992 1000 1046 1084 1089 
78	ECON1	PK25	37	5	41 53 64 132 145 188 235 284 307 364 368 394 399 416 463 466 483 519 522 583 586 595 609 615 633 652 684 687 698 699 710 718 747 810 811 812 814 815 838 846 851 864 867 868 869 871 881 898 903 942 948 952 969 976 978 988 1018 1019 1033 1058 1060 1061 1064 1066 1068 1073 1078 1081 1082 1084 
79	GREK0	PK180	63	3	41 330 345 375 549 619 642 725 932 959 1020 1051 1070 
80	ARCH2	PK229	64	17	42 224 239 299 330 408 549 932 
81	CSTS1	PK338	65	1	43 66 98 198 233 301 326 359 375 377 408 424 480 536 588 594 615 642 663 698 709 732 998 1057 
82	GREK1	PK243	65	2	43 428 490 603 820 
83	ARCH2	TAYF	66	5	43 143 153 316 503 549 760 
84	GNST1	PK338	67	15	45 54 152 154 170 217 253 255 304 345 369 379 420 479 565 640 657 674 833 881 
85	BIOL3	TAYG	16	6	47 71 181 207 275 419 
86	HIST2	PK243	68	16	380 440 488 
87	GEOL2	TAYF	69	6	48 153 271 288 485 572 650 
88	GEOL2	EHI	70	6	
89	GEOL2	PK243	71	17	48 72 153 404 
90	ENGL3	PK180	31	7	49 66 73 107 122 140 148 149 174 208 321 521 
91	ANTH1	PK25	30	7	50 178 388 420 490 506 576 578 597 599 612 629 634 641 649 657 659 670 682 706 710 715 720 725 738 747 748 750 760 784 792 875 895 896 897 921 925 926 933 935 945 951 953 957 961 972 983 990 992 1002 1003 1011 1012 1013 1016 1017 1020 1028 1029 1032 1050 1065 1077 1089 
