Course	Room	Teacher	Time	Students
1	CARP21	1	13	1 48 65 160 191 256 354 411 507 624 854 859 936 1051 1061 1606 
2	CARP21	2	4	1 14 28 49 53 58 65 86 90 91 106 265 326 340 454 496 499 500 566 623 624 859 940 1516 
3	CARP21	3	2	1 37 65 86 91 160 263 277 406 461 486 638 658 678 703 760 769 771 818 847 874 961 962 965 966 1493 1506 1541 
4	CARP25	4	5	2 850 
5	DAL300	5	10	2 79 437 495 502 505 561 611 630 853 865 869 871 1052 1485 1574 1615 
6	CARP21	6	7	3 91 169 233 449 505 613 635 641 718 814 879 922 983 1384 1527 1570 
7	PK20	7	5	4 34 35 54 57 81 82 94 127 168 171 252 301 322 342 392 697 
8	TAYG	8	3	51 58 506 510 559 561 863 
9	TAYG	9	1	22 72 88 243 340 399 504 544 590 627 694 795 803 820 846 961 998 1442 1533 1539 1604 
10	DAL300	10	6	6 15 16 18 30 77 110 159 181 328 349 379 387 510 628 696 697 699 704 838 851 939 
11	TAYE	11	3	6 200 223 228 409 461 487 590 686 762 883 1009 1066 1133 1145 1175 1180 1197 1200 1206 1211 1217 1226 1454 
12	DAL119	12	6	7 10 42 60 66 73 85 106 109 129 182 183 193 208 213 382 507 523 610 661 708 728 734 809 870 993 1023 1366 1549 1550 
13	TAYF	13	10	8 11 29 47 48 62 84 144 589 696 702 888 
14	PK243	14	5	8 304 364 453 641 701 1511 1551 
15	EHLEC	15	3	9 186 345 479 566 638 860 1016 
16	PK20	16	7	10 17 115 384 430 482 500 587 649 788 833 903 1050 1447 1451 
17	TAYD	17	12	11 395 643 978 
18	TAYG	18	6	11 70 84 144 589 
19	PK338	19	2	11 176 189 194 202 219 222 226 310 312 412 447 483 599 607 617 662 666 672 705 767 796 800 802 804 937 949 954 1015 1040 1091 1101 1104 1114 1136 1144 1147 1153 1178 1219 1227 1233 1252 1259 1264 1272 1282 1286 1307 1309 1312 1314 1318 1320 1336 1389 1470 1480 1505 1507 1551 
20	DAL2	20	4	12 25 75 584 898 919 1051 1433 1630 
21	DAL119	21	11	12 39 120 126 134 224 358 373 436 517 1017 1077 1087 1122 1149 1167 1210 1215 1223 1282 1311 1337 1363 1389 1444 1460 
22	TAYF	22	3	12 20 59 62 104 302 364 404 577 635 642 862 987 
23	CARP13	23	2	97 131 396 425 451 793 1045 
24	TH224	24	14	15 331 407 502 511 
25	TH224	25	11	13 15 23 69 247 326 1348 1601 
26	DAL315	10	2	16 77 167 205 349 472 522 696 707 851 938 
27	PK20	26	9	17 35 54 57 83 100 115 392 452 562 564 
28	DAL119	27	5	6 17 18 30 78 120 125 183 240 255 356 397 405 408 428 456 488 508 545 562 580 599 605 661 663 691 730 764 768 822 932 965 1006 1018 1343 1351 1568 1571 
29	PK25	28	4	19 48 70 116 145 190 290 474 517 528 529 553 664 727 837 1584 
30	PK25	28	5	19 101 116 336 347 553 554 837 1584 
31	RCSEM	29	3	320 1462 
32	PK278	30	3	14 21 132 194 211 326 389 425 569 579 760 795 947 1068 1073 1074 1081 1085 1099 1106 1108 1125 1131 1143 1150 1168 1179 1182 1196 1213 1223 1231 1233 1236 1250 1254 1281 1290 1296 1321 1332 1354 1358 1382 1457 1493 1548 
33	TAYE	31	9	21 251 330 381 493 611 828 832 865 996 1574 
34	TAYD	32	13	22 495 558 632 
35	TH224	33	10	23 247 326 407 511 558 688 700 1348 
36	EHII	34	2	14 298 331 366 742 936 1020 1041 1042 1127 1376 
37	EHLEC	15	2	24 259 404 626 983 1062 1489 1593 1600 
38	CARP21	35	11	24 95 140 167 203 242 292 366 369 454 629 671 961 1200 1345 1489 1515 
39	EHLEC	36	6	24 133 789 940 1460 1489 1516 
40	PK338	37	10	26 137 169 245 333 714 834 1458 
41	PK20	38	6	27 35 55 116 180 209 306 322 350 503 517 522 528 710 727 1540 
42	EHII	39	6	28 259 307 454 471 496 629 688 836 
43	CARP21	3	8	9 28 58 90 292 308 390 509 584 626 629 650 688 901 1062 1517 1537 1618 1625 
44	CARP25	40	1	30 63 71 93 331 332 
45	DAL300	41	15	31 64 133 179 217 223 228 229 233 360 586 610 619 636 710 912 1025 
46	PK278	42	4	32 216 284 458 465 532 600 612 639 672 684 701 738 806 985 989 991 1044 1046 1576 1578 
47	CARP21	43	12	32 38 59 69 95 97 102 263 513 620 647 744 826 904 916 1368 1461 1559 
48	PK20	44	2	33 57 111 121 126 129 148 170 171 209 216 236 262 265 289 290 301 306 322 343 452 457 518 520 628 697 706 761 866 972 1356 1469 1481 
49	PK20	45	3	33 111 129 155 156 174 180 184 188 225 289 300 314 488 503 534 540 659 799 867 957 968 1065 1126 1176 1356 1375 1510 1530 1554 
50	PK278	46	10	33 36 80 111 128 327 335 393 866 1463 
51	PK243	47	2	27 34 54 61 81 94 127 156 168 264 342 442 534 743 1013 1055 1375 1441 1471 1485 1544 1568 
52	DAL119	48	13	37 60 118 124 143 208 282 324 351 384 429 444 491 508 564 631 692 710 722 794 824 891 1041 1343 1587 
53	TH111	49	13	38 409 513 589 
54	TH116	50	3	38 291 397 743 747 1031 
55	DAL300	51	7	39 40 50 74 143 149 292 452 539 541 564 676 824 835 864 870 1019 1054 1355 1475 1612 
56	DAL119	27	9	40 73 84 110 198 215 337 378 385 417 456 485 508 526 567 692 729 730 827 845 848 871 1000 1010 1271 1345 1408 
57	PK25	52	6	41 135 329 354 537 719 1344 1478 
58	DAL119	53	15	42 43 76 85 116 163 264 382 398 473 523 590 606 694 718 728 846 875 971 1366 1465 1602 
59	DAL300	53	13	42 43 85 88 109 243 264 325 382 398 504 565 594 693 694 708 835 1602 
60	EHLEC	54	7	44 261 303 940 1062 1489 
