Course	Subject	Room	Teacher	Time	Students
61	ANTH2	PK25	55	4	17 45 81 139 168 248 253 261 379 428 602 626 699 710 753 838 878 1453 1467 
62	PSYC3	PK179	51	5	45 64 66 346 356 428 690 703 874 883 884 1062 1443 1445 1447 1529 1612 
63	LING1	PK20	56	10	45 89 90 110 137 176 186 240 279 363 406 413 450 466 475 477 546 639 640 657 659 724 831 868 874 958 966 1039 1042 1072 1084 1085 1091 1107 1125 1126 1184 1214 1228 1246 1276 1354 1373 1392 1401 1407 1415 1422 1495 1547 
64	PSYC3	DAL300	57	12	45 74 114 120 266 353 357 429 689 715 824 920 1443 1543 
65	CITY3	TAYE	40	5	46 711 1546 
66	CITY3	DAL119	58	9	46 107 113 177 249 386 427 512 621 711 712 737 740 750 755 850 857 860 892 917 
67	RUSS2	CARP21	22	4	49 74 320 329 415 421 441 673 896 1445 
68	SPAN3	TAYF	8	16	5 51 52 58 348 636 1369 1622 
69	FREN0	PK338	59	14	51 221 767 1053 1130 1155 1212 1235 1242 1264 1279 1286 1294 1296 1300 1310 1315 1333 1336 1365 1396 1423 
70	ENGL2	PK338	60	6	44 53 210 216 258 289 303 362 416 581 799 813 877 880 944 947 948 1000 1078 1181 1262 1437 1494 1499 
71	PSYC2	PK20	61	13	54 87 120 124 213 220 237 294 357 365 384 408 436 456 488 491 515 539 541 578 605 685 724 748 765 786 788 792 844 856 870 943 963 975 984 1037 1054 1059 1369 1371 1444 1473 1530 1539 1590 1612 
72	BIOL3	CARP21	62	5	27 55 82 250 252 293 301 324 384 710 833 
73	POLS1	PK278	5	8	56 66 146 196 211 234 298 310 352 355 369 405 422 440 441 443 445 527 596 637 773 781 796 855 935 938 951 1001 1119 1434 1504 
74	MATH1	PK20	63	2	5 57 118 146 190 195 199 212 309 370 417 421 423 424 462 514 525 543 601 614 640 653 674 677 726 730 750 775 792 809 815 823 848 879 952 963 969 1003 1006 1008 1012 1016 1084 1087 1097 1108 1110 1117 1120 1132 1134 1137 1143 1148 1154 1158 1162 1164 1168 1173 1176 1179 1182 1186 1193 1194 1196 1202 1203 1205 1211 1220 1223 1237 1246 1253 1255 1260 1268 1280 1284 1292 1297 1298 1301 1310 1315 1322 1324 1325 1330 1332 1338 1372 1417 1431 1438 1497 1524 1544 1564 1568 1627 
75	SPAN2	TH110	64	5	58 328 344 423 927 
76	HART2	CARP21	65	6	59 202 219 221 230 383 409 494 756 1348 1486 
77	BIOL3	PK338	62	15	61 83 111 118 126 139 161 174 194 257 276 282 285 293 327 343 435 503 519 562 631 1518 1589 
78	CHEM2	PK25	46	12	61 164 165 239 250 257 264 275 288 334 361 459 469 651 654 847 882 1484 
79	ARCH3	PK234	40	4	63 185 331 406 595 1367 
80	ANTH3	PK243	66	14	16 63 126 150 387 485 778 1518 
81	EDUC2	DAL119	67	10	64 132 133 256 288 292 357 360 399 428 456 473 541 619 636 650 689 739 1620 
82	ENGL3	TH110	35	6	65 538 844 915 
83	CMSC3	DAL315	68	7	67 419 458 721 735 754 805 836 840 868 1453 
84	HART3	TAYE	35	4	68 383 700 826 
85	HART2	PK25	69	5	3 68 95 313 547 647 776 811 857 932 933 943 1078 1171 1181 1198 1245 1345 
86	HIST2	PK338	70	11	68 145 175 178 280 421 441 543 660 757 765 769 770 813 1057 1161 1221 1270 1390 1425 1439 1455 1479 1488 1549 
87	HART3	PK234	65	5	69 620 763 1368 1461 1607 
88	FREN2	PK234	71	6	70 163 250 485 981 1518 
89	GERM1	TH110	72	7	71 263 352 514 966 
90	PHIL2	PK338	73	16	92 195 276 314 333 374 392 514 525 660 717 934 955 968 1070 1153 1253 1313 1426 1441 1482 1555 
91	PSYC3	PK243	32	15	40 73 351 436 438 443 843 1448 
92	COML3	TAYE	74	6	75 247 921 1474 
93	SOCL3	PK234	75	7	76 163 875 971 1366 1465 
94	ANTH3	PK25	76	6	77 110 115 148 167 181 328 345 349 350 387 405 457 472 522 626 656 894 907 
95	INST3	DAL119	5	7	2 79 254 260 338 481 502 505 506 561 565 567 622 630 759 853 861 925 1052 1364 1454 
96	CHEM3	TAYF	77	17	329 380 753 1583 
97	COML3	TAYE	35	14	83 454 919 
98	PSYC1	PK20	57	15	87 105 192 417 523 530 597 758 762 795 822 931 1092 1112 1115 1119 1122 1129 1149 1160 1194 1197 1207 1208 1248 1270 1277 1278 1285 1289 1299 1305 1306 1312 1317 1327 1337 1350 1357 1362 1387 1492 1493 1557 
99	ECON2	DAL119	78	2	21 89 200 228 234 328 352 442 530 544 547 597 683 687 781 934 938 995 1001 1055 1545 1575 
100	ECON3	TH110	79	8	91 403 582 1446 
101	HIST2	PK278	33	9	1 92 184 313 358 425 443 449 461 466 507 533 593 624 638 717 756 762 842 889 927 938 1201 1226 1245 1266 1274 1465 1513 1543 1617 
102	EALC3	PK349	80	2	96 105 337 494 501 646 885 1614 
103	MATH1	PK278	63	13	10 96 157 193 262 279 282 285 308 323 358 422 588 631 637 661 663 668 711 743 745 768 842 861 863 866 877 944 956 966 998 1048 
104	EALC1	DAL315	80	1	96 200 490 494 501 534 597 714 1035 1589 
105	LATN1	PK349	81	11	97 816 1004 1076 1328 1581 
106	ECON3	TH110	79	9	98 108 403 1055 
107	CMSC2	DAL315	82	8	32 99 284 359 458 639 740 836 840 858 868 1531 
108	CHEM1	PK20	83	3	8 101 134 135 154 155 156 184 194 195 212 225 244 258 277 294 300 336 370 423 487 514 517 525 534 554 601 658 659 768 775 802 848 880 881 946 968 1012 1013 1016 1079 1080 1088 1089 1094 1096 1103 1105 1117 1131 1153 1154 1159 1173 1176 1180 1185 1188 1190 1197 1210 1211 1222 1230 1237 1253 1260 1261 1265 1280 1287 1298 1303 1306 1309 1338 1406 1492 1510 
109	GEOL2	PK25	84	13	101 135 145 199 244 324 336 347 537 553 554 664 719 837 848 986 1344 1478 
110	GEOL3	TH110	85	10	41 101 244 554 
111	MATH3	PK278	86	1	103 132 173 202 217 222 269 270 272 274 278 295 297 310 311 321 333 359 410 447 469 480 498 524 568 574 627 634 671 709 779 798 805 918 937 1458 1482 1507 1534 1600 
112	ARTT2	PK349	87	12	104 218 385 914 1033 1141 1208 
113	RUSS1	TAYE	88	7	105 361 1034 
114	MATH3	DAL119	89	11	32 52 67 112 245 267 268 269 270 321 339 410 469 570 847 849 856 1458 1535 
115	POLS3	DAL315	90	9	117 175 291 402 493 558 573 731 784 827 865 1361 
116	CHEM2	PK20	77	7	13 118 125 130 139 158 161 174 188 206 232 253 281 282 285 289 290 299 304 314 324 343 346 363 371 374 394 435 464 470 474 479 497 518 520 535 631 655 761 819 849 958 959 963 1007 1053 1063 1064 1069 1166 1269 1356 1388 1469 1543 1552 
117	HART2	TH110	6	11	119 391 412 1005 
118	PHIL1	PK278	91	6	121 196 198 207 267 478 484 486 507 512 516 535 600 720 758 930 1036 1101 1128 1136 1163 1178 1198 1226 1247 1254 1269 1278 1297 1298 1338 1420 1458 1552 1568 
119	PHIL2	PK25	73	14	39 121 172 178 207 255 402 414 831 1116 1218 1258 1274 1362 1548 
120	GEOL1	PK278	85	5	122 138 154 205 299 361 434 466 481 550 632 723 835 861 873 910 925 1100 1128 1140 1142 1195 1209 1251 1268 1276 1291 1411 1412 1413 1431 1471 1478 1509 1519 1609 1629 
121	PHYS3	PK349	92	13	122 453 633 641 1597 1621 
122	CITY2	PK229	78	1	123 
123	CITY2	DAL315	93	2	123 162 230 311 316 521 545 603 867 979 
124	CITY2	PK278	94	14	123 140 173 187 227 230 249 271 316 448 546 550 601 603 618 674 675 679 682 755 812 841 867 917 926 949 979 992 997 1026 1564 1593 
125	PSYC2	PK20	95	9	85 124 129 172 183 208 229 255 258 294 333 356 385 411 412 482 508 526 604 616 641 669 690 709 716 722 844 856 870 928 935 963 964 973 1023 1027 1032 1054 1059 1097 1355 1367 1377 1408 1427 1462 1547 1553 1560 1583 1585 
126	SOCL1	PK338	75	8	125 154 256 372 473 519 764 809 846 929 946 956 1002 1011 1083 1151 1157 1190 1212 1242 1290 1349 1380 1386 1598 
127	HART2	PK243	35	16	127 205 218 222 310 663 868 965 1464 
128	CHEM2	DAL315	96	10	128 153 164 165 239 275 334 361 651 654 882 1484 
129	SOCL2	DAL300	53	5	134 243 340 594 653 726 728 916 942 992 1016 1365 1613 
130	CSTS2	PK179	97	6	131 489 577 652 825 872 957 974 1076 1167 1231 1241 1291 1322 1385 1413 
131	LATN0	PK243	98	1	273 1291 
132	ARTW2	CARP21	99	7	133 574 624 751 817 926 1341 1560 1569 
133	ECON2	PK338	100	1	136 147 151 162 187 197 224 227 281 283 373 437 527 595 596 666 707 767 772 796 853 871 960 1003 1008 1009 1010 1363 
134	SPAN2	CARP21	74	8	136 271 492 515 532 683 965 1022 
135	ECON2	PK338	79	5	136 147 152 162 187 197 201 220 224 446 621 671 683 736 759 772 798 890 900 902 947 1010 1476 1502 1566 1616 
136	COML3	PK180	101	8	138 890 
137	POLS1	PK278	90	10	79 138 166 215 228 298 341 369 376 424 439 443 609 611 691 871 881 894 1036 1117 1155 1220 1221 1236 1340 1351 1379 1434 1435 1485 1507 1575 1592 
138	CITY1	PK20	58	12	140 187 200 311 386 391 448 530 546 547 594 618 675 682 737 750 812 822 892 926 992 1015 1024 1026 1092 1172 1201 1240 1283 1294 1323 1326 1327 1335 1349 1357 1398 1414 1419 1428 1430 1502 1556 1564 1594 1598 1633 
139	FREN2	DAL315	102	11	141 294 422 445 513 531 637 877 1120 1495 1503 
140	HIST2	PK243	25	2	142 241 274 375 403 770 783 1192 1224 
141	HIST2	PK349	97	14	142 505 774 785 793 1351 
142	PHIL2	TH110	103	12	142 330 765 1110 1464 
143	ENGL2	PK243	36	17	142 247 476 1004 1146 1161 1232 1494 
