Course	Room	Teacher	Time	Students
1	DAL119	1	15	1 96 264 459 550 581 586 1117 1185 1321 1344 
2	DAL119	2	10	1 143 190 311 446 581 609 634 673 1201 
3	CARP21	3	6	1 61 85 133 138 163 429 468 507 587 628 638 1252 
4	PK25	4	6	265 598 1059 1112 1414 
5	PK25	5	4	2 56 72 139 157 249 355 616 1246 
6	PK278	6	15	2 396 612 616 
7	TH110	7	4	3 55 59 66 79 80 82 105 115 288 290 303 308 319 348 352 385 391 417 490 560 562 563 573 611 731 
8	DAL300	8	12	3 37 185 490 667 806 821 1095 1103 
9	PK180	9	6	3 4 70 120 231 303 366 368 425 542 916 1281 1426 
10	PK241	10	14	5 61 141 234 332 447 450 603 734 740 1125 1174 1202 1282 
11	PK241	11	5	5 42 93 97 147 176 195 304 509 513 526 606 626 631 1129 1169 
12	TAYF	12	17	6 148 1057 1151 
13	PK25	13	3	6 24 96 100 289 296 609 732 
14	TH110	14	6	7 18 21 34 106 110 118 350 353 360 424 461 487 496 504 537 566 574 620 621 669 1080 
15	PK25	15	12	8 26 42 46 88 427 606 626 1147 
16	PK241	16	13	8 14 18 49 76 84 88 90 155 197 327 580 666 
17	PK278	17	9	9 462 594 662 670 706 
18	PK241	18	3	10 20 44 47 79 125 129 294 362 484 531 545 623 624 1169 1224 1319 
19	TAYD	19	9	10 325 346 1258 1363 
20	TH110	20	10	10 13 20 26 36 51 52 77 89 125 129 165 290 320 348 351 361 368 663 728 1177 1189 1244 1301 
21	PK180	21	16	11 131 258 294 608 853 864 1036 1045 1364 
22	PK278	22	12	11 16 38 94 1082 
23	PK20	23	2	12 147 218 223 230 246 252 265 266 279 342 478 481 518 519 521 549 550 557 558 595 686 691 763 766 769 775 781 788 796 801 802 803 813 820 821 822 824 825 826 830 834 839 840 847 852 853 855 857 858 859 860 875 877 878 882 885 888 890 891 900 904 914 918 919 924 932 936 947 951 953 954 960 962 972 975 990 991 993 996 997 1005 1006 1008 1014 1015 1018 1019 1027 1031 1040 1041 1046 1053 1056 1059 1064 1132 1403 1417 1421 1422 
24	PK243	24	3	12 14 22 23 74 151 281 297 374 423 424 489 564 637 696 703 712 1092 1138 1144 1429 1430 
25	PK278	11	16	14 58 90 93 97 287 
26	PK278	25	17	15 73 248 324 540 733 
27	PK20	26	15	17 114 116 178 226 228 234 277 282 306 372 378 411 437 463 519 533 553 559 561 590 632 646 651 691 719 759 771 780 782 790 820 832 836 837 854 860 875 895 928 945 982 1005 1029 1086 1110 1118 
28	CARP21	27	9	17 35 64 122 167 391 423 511 635 1087 1109 
29	TAYD	15	6	105 171 588 611 1167 
30	PK243	28	6	19 27 107 108 188 256 314 357 464 543 604 675 677 1260 1302 1363 1415 
31	PK25	29	8	19 314 672 678 1302 1363 
32	PK338	30	2	19 158 174 204 217 220 250 255 260 370 399 440 455 495 604 695 700 710 725 738 770 809 849 911 946 948 950 957 969 999 1000 1013 1045 1095 1115 1161 1291 1408 
33	CARP21	31	13	19 239 242 337 341 406 407 455 871 907 948 990 1184 
34	PK20	32	9	16 20 195 203 218 275 330 370 380 392 399 400 555 584 646 649 655 683 735 773 920 957 979 1029 1060 1082 1136 1143 1177 1183 1187 1201 1206 1236 1250 1251 1281 1308 1312 1315 1319 1320 1338 1342 1349 1359 1365 1367 1370 1371 1377 1380 1401 1411 1425 1473 1474 
35	PK241	33	4	20 89 119 199 205 259 282 362 373 408 453 457 478 522 523 1208 
36	TH110	34	12	21 34 118 152 170 181 201 298 350 461 483 496 523 589 591 621 622 680 1221 1229 
37	PK338	35	17	12 22 35 40 60 62 64 74 99 119 122 127 153 270 291 299 356 386 388 423 426 458 564 690 748 1071 1138 
38	TAYD	36	17	292 537 709 1164 1271 
39	TH224	36	2	22 292 537 709 1164 1271 
40	PK25	37	17	23 96 296 475 476 1074 1104 1117 1191 
41	DAL300	38	7	24 261 466 487 529 562 741 1099 1157 
42	CARP21	39	1	25 190 309 430 459 470 491 494 527 586 671 1172 1178 1218 1227 
43	PK243	40	16	25 45 57 69 71 81 173 209 255 291 442 444 507 535 629 665 681 1089 
44	PK180	41	2	25 78 115 119 166 209 315 444 446 494 640 668 719 
45	PK180	41	17	25 78 115 137 382 392 494 592 640 668 719 1159 
46	PK180	2	3	26 60 65 278 312 325 365 468 616 700 713 1155 1159 1252 
47	TAYD	42	12	27 213 546 1183 1296 
48	PK182	43	8	27 30 732 
49	PK243	44	12	28 136 156 164 183 244 283 365 402 469 493 570 636 663 692 1176 1242 1245 
50	PK338	45	8	28 36 70 142 214 237 265 437 441 480 507 510 553 562 581 599 653 700 718 737 745 1135 1155 1174 1186 1240 1247 1291 1304 1329 1347 
51	PK180	44	7	28 136 156 164 183 244 283 365 402 486 570 636 692 
52	DAL119	46	16	28 265 617 708 740 871 1293 1444 
53	PK243	47	1	29 56 72 135 139 141 157 249 266 281 313 372 393 396 492 508 519 544 595 612 1219 1246 1279 
54	PK100	48	6	30 53 161 576 666 732 774 949 
55	PK25	49	13	30 37 41 64 86 353 485 567 1138 
56	TAYG	8	9	30 
