Course	Room	Teacher	Time	Students
1	DAL300	1	6	1 96 264 459 550 586 1117 1185 1321 1344 
2	DAL300	2	7	1 143 190 311 446 581 609 634 673 1201 
3	CARP21	3	8	1 61 85 133 138 163 429 468 507 587 628 638 675 1252 
4	BYC127	4	4	1 220 265 333 598 1059 1112 1414 
5	PK25	5	6	2 56 72 139 157 249 355 616 1246 
6	PK25	6	7	2 313 355 396 612 616 
7	TAYD	7	3	3 55 59 66 79 80 82 105 115 288 290 303 308 319 348 352 385 391 417 490 560 562 563 573 611 731 
8	EHLEC	8	1	3 37 490 667 701 
9	EHI	9	1	4 70 120 303 366 368 542 916 1426 
10	PK20	10	7	5 61 141 234 332 447 450 603 618 734 740 1088 1125 1174 1202 1282 
11	PK20	11	6	5 42 93 97 147 176 195 304 381 509 513 526 606 626 631 1129 1169 
12	TAYG	12	13	6 148 1057 1151 
13	TAYF	13	4	6 24 96 100 289 296 609 732 
14	PK338	14	11	7 18 21 34 106 110 118 350 353 360 424 461 487 496 504 537 566 574 620 621 669 1080 
15	PK20	15	11	8 26 42 46 88 427 606 626 1147 
16	PK20	16	8	8 14 18 46 49 76 84 88 90 155 197 327 450 580 666 
17	TH104	17	6	9 462 594 662 670 706 
18	TH110	18	14	10 20 44 47 79 125 129 294 362 484 531 545 623 624 1169 1224 1319 
19	GOB	19	8	10 325 346 1258 1363 
20	TH110	20	9	10 13 20 26 36 51 52 77 89 125 129 165 290 320 348 351 361 368 663 728 1177 1189 1244 1301 
21	EHI	21	2	131 294 464 608 833 853 1045 1364 
22	PK336	22	2	11 38 94 102 
23	PK338	23	1	12 147 218 223 230 246 252 265 266 279 342 478 481 518 519 521 549 550 557 558 595 686 691 763 766 769 788 796 801 802 813 820 821 822 824 825 826 830 834 839 840 852 853 855 857 858 859 860 875 877 878 882 885 890 900 904 914 918 919 924 932 936 947 951 953 954 960 962 975 990 991 996 997 1006 1008 1014 
24	CARP21	24	4	12 14 22 23 74 151 281 297 374 423 424 489 564 637 696 703 712 1092 1138 1144 1429 1430 
25	PK20	11	12	14 58 90 93 97 287 
26	PK336	25	3	15 73 248 324 540 733 
27	TAYG	26	1	17 114 116 178 226 234 277 282 306 372 378 463 533 553 559 561 590 651 719 854 982 1029 1086 1110 1118 
28	CARP21	27	11	17 35 64 122 167 391 423 511 579 635 957 1087 1109 
29	PK20	15	13	18 105 171 588 611 1167 
30	GOB	28	1	27 107 108 188 256 314 357 464 543 675 677 682 1080 1260 1302 1363 1415 
31	GOB	29	5	19 314 376 672 678 1302 1363 
32	TAYD	30	1	19 174 204 217 220 255 260 370 399 440 455 495 604 738 911 948 950 957 1000 1013 1115 1161 1291 1408 
33	DAL300	31	3	19 239 242 406 407 455 871 948 990 1184 
34	TH110	32	2	16 20 195 218 330 370 392 399 400 555 655 683 735 957 979 1029 1060 1082 1136 1143 1177 1183 1187 1201 1206 1236 1250 1251 1281 1308 1312 1315 1319 1320 1338 1342 1349 1359 1365 1367 1370 1371 1377 1380 1401 1411 1425 1473 1474 
35	DAL119	33	8	20 79 89 119 199 205 259 282 362 373 408 453 457 478 522 523 1208 
36	PK338	34	12	21 34 118 152 170 181 201 298 350 461 483 496 523 589 591 621 622 680 1221 1229 
37	CARP21	35	2	12 22 35 40 60 62 64 74 99 119 122 127 153 270 291 299 386 388 423 426 458 564 690 748 1071 1138 
