Course	Subject	Room	Teacher	Time	Students
1	CITY2	DAL119	1	9	1 96 264 459 550 586 1117 1185 1321 1344 
2	CITY3	PK25	2	6	1 143 190 311 446 581 609 634 673 1201 
3	HART3	PK241	3	8	1 61 85 133 138 163 429 468 507 587 628 638 675 
4	ITAL1	DAL300	4	5	1 220 265 333 517 598 1059 1112 1414 
5	GEOL3	DAL300	5	6	2 56 72 139 249 355 616 1246 
6	GEOL3	PK278	6	10	2 313 355 396 612 
7	ENGL3	TH110	7	5	3 55 59 66 79 80 82 105 115 288 290 303 308 319 348 352 385 391 417 490 560 562 563 573 611 731 
8	ENGL2	PK25	8	7	3 37 185 490 667 806 821 
9	ARTW2	PK241	9	16	3 4 70 120 231 303 366 368 425 542 916 1281 1426 
10	BIOL2	PK243	10	9	5 61 141 234 332 447 450 603 618 734 740 1088 1125 1202 1282 
11	BIOL2	PK243	11	2	5 42 93 97 176 195 304 381 509 513 606 626 631 1129 1169 
12	EDUC3	TAYG	12	7	148 1057 1151 
13	FREN3	DAL300	13	7	6 23 24 96 100 289 296 609 732 
14	ANTH3	TH110	14	15	7 18 21 34 106 110 118 350 353 360 424 461 487 496 504 537 566 574 620 621 669 1080 
15	BIOL3	DAL300	15	8	8 26 42 46 88 606 626 
16	BIOL3	PK243	16	15	8 14 46 49 76 84 88 90 155 197 327 450 580 666 
17	CSTS2	PK278	17	12	9 462 594 662 670 706 
18	PSYC3	PK243	18	3	10 20 44 47 79 125 129 294 362 484 531 545 623 624 1169 1224 1319 
19	ARTD2	TAYF	19	2	10 346 1258 1363 
20	PSYC2	TH110	20	9	10 13 26 51 52 77 89 125 129 165 290 320 348 351 361 368 663 728 1189 1244 1301 
21	ARTW2	PK180	21	12	11 131 294 464 608 833 853 864 1036 1045 1364 
22	MATH3	PK278	22	13	11 16 38 94 102 1082 
23	MATH1	PK20	23	2	12 147 218 223 230 246 252 265 266 279 342 478 481 518 519 521 549 550 557 558 595 686 691 763 766 769 775 781 788 796 801 802 803 813 820 821 822 824 825 826 830 834 839 840 847 852 853 855 857 858 859 860 875 877 878 882 885 888 890 891 900 904 914 918 919 924 932 936 947 951 953 954 960 962 972 975 990 991 993 996 997 1005 1006 1008 1014 1015 1018 1019 1027 1031 1040 1041 1046 1053 1056 1059 1064 1132 1403 1417 1421 1422 
24	POLS2	TH110	24	16	12 14 22 23 74 151 281 297 374 423 424 489 564 637 696 703 712 1092 1138 1144 1429 1430 
25	BIOL3	PK278	11	14	14 58 90 93 97 287 
26	CMSC2	PK278	25	15	15 73 248 540 733 
27	SPAN1	PK20	26	15	17 114 116 178 226 228 234 277 282 306 372 378 411 437 463 519 533 553 559 561 590 632 646 651 691 719 759 771 780 782 790 820 832 836 837 854 860 875 895 928 945 982 1005 1029 1086 1110 1118 
28	POLS3	PK241	27	17	17 35 64 122 167 391 423 511 579 635 957 1087 1109 
29	BIOL2	PK278	15	16	18 105 171 588 611 1167 
30	ARTD1	CARP21	28	5	19 27 107 108 188 238 256 314 357 464 543 604 675 677 682 1080 1260 1302 1363 1415 
31	ARTD1	PK100	29	14	19 314 376 678 1302 1363 
32	FREN0	PK338	30	1	19 158 174 204 217 220 250 255 260 342 370 399 440 455 495 604 695 700 710 725 738 946 948 950 957 969 999 1000 1013 1045 1095 1115 1161 1291 1408 
33	HIST1	PK180	31	1	239 242 337 341 406 407 990 1184 
34	PSYC2	PK20	32	9	16 20 195 203 218 275 330 370 380 392 399 400 555 584 646 649 655 683 735 773 920 957 979 1029 1060 1082 1136 1143 1177 1183 1187 1201 1206 1236 1250 1251 1281 1308 1312 1315 1319 1320 1338 1342 1349 1359 1365 1367 1370 1371 1377 1380 1401 1411 1425 1473 1474 
35	SOCL2	PK243	33	4	20 79 89 119 199 205 259 282 362 373 408 453 457 478 522 523 1208 
36	ANTH3	CARP21	34	6	21 34 118 152 170 181 201 298 350 461 483 496 523 589 591 621 622 680 1221 1229 
37	POLS3	TH110	35	2	22 35 40 60 62 64 74 99 119 122 127 153 270 291 299 356 386 388 423 426 458 564 690 748 1071 1138 
38	SOCL3	PK278	36	17	22 292 537 709 1164 1271 
39	SOCL3	TAYD	36	1	22 292 537 709 1164 1271 
40	FREN2	DAL300	37	9	23 475 476 1074 1104 
41	ITAL2	PK25	38	8	24 261 466 487 529 562 741 1099 1157 
42	CITY3	PK243	39	16	25 190 309 459 470 491 494 527 586 1172 1178 1218 1227 
43	HIST3	CARP21	40	15	25 45 57 69 71 81 173 209 255 291 442 444 507 535 629 665 681 1089 
44	EDUC2	PK241	41	9	25 78 115 119 166 209 255 315 444 446 494 640 668 719 
45	CITY2	PK180	41	13	25 78 115 382 392 494 592 640 668 719 1159 
46	HART2	PK241	2	10	26 60 312 325 365 468 616 700 713 1155 1159 1252 
47	RUSS2	TAYF	42	3	27 213 546 1183 1296 
48	RUSS3	TH224	43	4	27 
49	CHEM2	CARP21	44	16	28 136 156 164 183 244 283 365 402 469 493 570 636 663 692 1176 1242 1245 
50	HART2	PK338	45	9	28 36 70 142 214 237 265 364 437 441 480 507 510 553 562 581 599 653 700 718 737 745 1135 1155 1174 1186 1240 1247 1291 1304 1329 1347 
51	CHEM2	PK180	44	2	28 136 156 164 183 244 283 365 402 486 570 636 692 
52	HART2	DAL119	46	10	28 265 617 652 708 723 740 786 871 1293 
53	GEOL2	TH110	47	13	29 56 72 135 139 141 157 249 266 281 313 372 393 396 492 508 519 544 595 612 1219 1246 1279 
54	RUSS2	PK100	48	4	30 53 161 576 666 732 774 949 
55	SPAN3	DAL300	49	10	30 37 41 64 86 353 485 567 
56	RUSS2	PK182	8	10	
57	ENGL2	CARP21	50	11	18 31 51 79 135 299 308 348 451 457 543 563 578 814 1180 1244 1333 1376 1448 
58	PHYS3	PK180	51	14	31 39 121 161 179 268 310 492 614 1214 1249 1278 
59	PHIL2	PK243	52	17	32 38 386 402 464 588 1000 1018 1122 1198 1317 1323 1324 1461 
60	PHIL2	TH224	53	17	522 
61	PHIL3	PK100	54	5	32 128 317 416 1085 
62	SOCL3	DAL300	33	11	148 166 198 362 394 434 1287 
