Course	Room	Teacher	Time	Students
62	PK25	52	8	34 113 161 236 257 337 346 400 415 420 441 450 468 510 540 541 581 588 632 653 673 678 798 813 840 927 942 
63	PK349	53	16	35 50 64 65 72 77 98 142 143 195 266 291 329 
64	PK336	54	2	39 235 441 462 517 
65	PK180	55	2	36 122 179 212 259 314 374 399 428 495 498 
66	PK229	55	9	37 49 82 96 122 179 203 290 314 498 607 
67	PK25	56	6	37 46 261 454 493 549 575 585 593 622 669 688 702 837 862 868 894 899 929 933 942 955 964 974 995 1047 1059 1083 
68	DAL204	57	17	38 54 182 193 212 282 300 355 398 406 413 431 452 526 538 584 701 873 991 
69	TH224	58	14	38 204 391 462 
70	PK336	59	3	38 84 116 204 300 391 462 528 554 
71	PK180	31	3	40 131 141 156 198 209 384 436 513 514 
72	PK336	60	12	40 490 577 622 662 954 1049 
73	DAL204	61	7	41 111 183 217 251 252 256 357 375 382 404 427 488 547 679 685 759 765 785 1069 
74	PK180	62	11	41 46 691 795 943 993 1048 1057 1069 
75	PK349	21	17	41 55 63 110 192 223 273 280 309 434 485 579 982 
76	EHLEC	63	8	43 
77	TH110	64	11	44 69 93 95 102 217 260 289 296 299 315 325 440 617 
78	PK229	65	1	44 97 201 222 265 347 440 445 547 653 841 856 
79	TH110	66	5	47 92 97 106 122 138 265 447 577 617 635 653 705 732 748 828 979 
80	PK349	67	6	93 97 170 297 318 319 443 459 563 570 616 968 
81	PK229	68	2	48 114 156 184 339 354 356 545 552 553 738 778 
82	PK229	68	10	156 168 190 199 354 386 430 516 975 
83	DAL204	6	8	50 127 138 195 253 303 457 471 482 500 539 543 544 551 564 595 614 623 635 693 724 733 
84	PK336	69	4	52 94 110 130 163 189 190 224 344 
85	TH110	70	17	144 203 209 277 325 380 438 512 548 562 757 845 
86	TAYE	71	17	113 151 180 
87	TH110	48	12	54 123 186 358 400 405 430 499 552 693 709 720 807 832 
88	TAYE	72	4	55 114 211 240 339 
89	PK229	73	3	56 347 489 505 516 780 844 896 928 986 1054 1104 
90	TAYE	74	5	57 154 234 280 388 820 
91	TAYF	75	12	57 170 444 
92	TH224	76	15	57 62 157 202 
93	PK336	77	5	58 121 140 497 546 612 623 1017 1076 
94	PK25	78	9	58 120 218 228 236 272 349 399 415 417 441 445 447 468 482 488 489 490 510 561 564 581 624 686 744 821 903 
95	TH110	63	7	59 94 296 417 432 456 466 515 566 648 665 668 757 810 848 
96	PK349	79	7	60 91 159 185 231 275 292 392 619 647 809 984 
97	PK338	35	12	60 74 133 157 169 244 251 252 256 269 284 298 304 305 339 355 393 412 425 446 476 505 542 550 565 582 589 613 616 620 633 691 707 761 798 810 868 889 1036 1055 1088 1089 1091 
98	TAYF	42	13	61 151 262 
99	TAYD	80	8	61 188 224 225 278 384 657 
100	PK229	81	11	61 74 167 194 242 335 365 380 438 460 548 770 
101	PK336	32	6	62 105 132 162 333 352 441 452 535 
102	PK25	82	10	63 72 176 201 307 346 364 371 385 399 434 486 560 562 567 586 597 619 631 645 659 665 686 745 762 787 799 846 
103	TH110	83	8	64 75 142 227 237 265 327 423 550 583 584 602 787 854 856 
104	TAYD	11	9	66 187 365 432 632 790 
105	PK349	84	1	68 127 244 325 408 448 500 503 574 605 613 645 654 757 
106	PK338	61	16	70 186 271 274 362 475 538 579 590 603 647 661 677 682 717 739 776 813 816 863 871 877 886 894 897 902 926 945 950 959 990 1023 1062 1063 1067 1069 1072 1082 1085 1087 1098 
107	PK349	40	2	77 126 220 505 532 647 660 695 704 918 976 1019 
108	TH224	39	2	78 81 216 349 982 
109	TH224	70	16	79 132 305 313 
110	PK180	85	4	79 202 283 292 298 369 514 533 581 728 
111	TAYF	68	14	80 
112	PK180	1	5	80 126 206 338 343 429 480 508 675 811 
113	PK338	86	2	80 113 166 381 383 392 396 427 448 463 469 471 491 493 494 503 511 522 537 564 571 572 573 577 586 615 634 638 649 658 680 692 703 716 723 751 779 782 788 812 822 836 841 843 847 849 850 856 858 866 867 870 874 875 884 887 895 899 906 909 910 917 921 923 924 926 929 931 940 944 945 956 957 958 961 963 967 969 972 973 974 980 981 987 988 989 990 991 996 997 998 1000 1001 1002 1006 1009 1013 1015 1018 1024 
114	PK243	68	13	80 432 
115	PK229	70	4	82 217 368 409 421 429 460 502 526 531 633 
116	PK229	65	12	83 166 188 196 197 201 217 222 255 285 457 841 
117	TAYE	87	6	85 433 506 823 
118	TH110	88	6	87 215 264 269 308 398 411 414 426 455 509 512 518 519 589 701 756 855 
119	TAYE	89	7	87 152 229 264 269 308 
120	DAL204	90	4	88 89 121 226 256 262 267 271 333 449 465 546 549 578 601 681 687 719 751 759 814 
121	DAL204	91	1	88 128 161 273 305 387 431 473 478 497 532 569 579 711 807 839 863 933 980 982 983 1009 1034 
122	PK349	59	8	88 89 279 361 752 797 847 919 944 953 959 1093 
123	PK336	85	7	212 318 350 381 419 454 
124	PK338	92	6	92 113 145 198 341 394 469 470 475 490 498 602 617 647 671 672 691 712 715 719 720 738 759 775 787 788 817 819 821 848 861 870 872 892 896 904 910 916 917 921 951 984 985 1006 1007 1008 1012 1028 1041 1042 1054 1056 1058 1068 1073 1078 1080 1086 1088 1094 1099 1102 
125	PK243	66	14	92 304 
126	TAYD	93	10	94 171 189 224 350 692 
127	TAYF	85	15	94 189 673 
128	TAYF	94	1	95 118 165 
129	PK180	28	12	96 97 179 208 237 282 397 428 543 995 
130	TH224	95	17	99 565 744 803 
131	PK336	96	8	99 304 305 352 439 580 851 
132	PK25	97	13	100 210 295 365 643 749 826 838 888 889 892 912 919 920 934 948 1004 1015 1023 1028 1036 1042 1049 1059 1082 1084 1100 
133	DAL204	17	13	101 177 250 310 349 351 369 384 416 443 479 514 555 582 662 668 682 716 810 853 
134	TAYE	22	8	105 175 223 334 387 442 
135	TAYE	22	9	105 175 223 334 387 442 
136	TAYF	27	16	107 545 
137	EHLEC	72	9	110 
138	TAYD	43	11	111 135 251 268 382 424 
139	TAYF	43	2	135 309 492 
140	TH110	41	1	114 356 381 417 468 476 477 555 592 620 621 715 716 760 761 800 821 835 1013 1046 
141	PK336	76	9	118 298 330 358 666 685 853 958 
142	PK229	98	13	119 160 215 398 411 414 426 517 519 589 722 730 
143	PK25	65	11	127 233 366 386 503 523 559 605 635 645 743 768 786 792 799 818 835 860 865 872 882 934 949 986 1071 1073 1079 1092 
144	PK336	19	13	467 893 937 946 1069 1098 1102 
145	PK180	39	13	129 407 624 876 999 
146	PK243	99	16	129 154 
147	PK349	68	9	130 137 151 291 326 332 394 530 533 604 644 669 1028 1035 
148	PK229	73	14	130 163 190 220 402 416 505 591 694 844 
149	PK243	70	1	137 224 646 
150	PK338	37	13	145 326 341 344 354 357 367 465 482 486 527 560 597 598 619 649 756 764 774 777 779 783 795 801 815 823 833 836 846 850 859 875 890 917 953 957 958 961 975 988 998 1002 1062 
151	PK336	23	14	146 429 477 530 768 806 
152	TAYE	100	10	147 290 298 596 661 820 
153	DAL204	101	2	149 161 191 237 326 359 368 380 384 401 440 443 464 531 583 609 633 650 712 770 773 811 
154	PK349	102	10	155 205 270 327 396 436 513 523 558 603 684 1036 1059 1100 
155	TAYF	103	17	169 170 
156	PK349	104	11	160 182 203 207 316 327 455 472 638 721 794 851 885 
157	TAYD	86	12	168 261 432 823 824 833 1086 
158	PK338	105	14	169 170 171 278 408 480 670 680 683 742 766 780 802 804 871 879 883 897 900 907 909 921 922 926 936 940 950 952 960 963 967 984 1029 1039 1041 1052 1066 1067 1071 1075 1081 1096 
159	TAYE	106	11	171 178 220 395 532 861 
160	PK336	107	15	177 246 251 320 358 401 532 618 
161	TAYD	108	13	198 388 419 603 676 928 
162	TAYF	92	3	182 254 626 754 
163	TAYD	85	14	185 392 598 719 
164	PK243	109	2	187 297 413 
165	PK243	110	15	187 413 
166	PK336	111	10	274 355 361 412 729 737 803 
167	PK243	23	3	193 410 674 
168	PK25	49	15	196 414 426 430 436 458 556 572 594 623 741 778 805 813 870 874 904 925 951 972 977 981 1038 1044 1074 1086 
169	TAYF	30	4	199 331 803 1063 
170	TAYF	91	5	202 205 249 340 
171	PK243	80	4	203 555 797 
172	TH110	36	13	299 422 463 534 536 558 563 564 599 615 640 733 767 820 834 
173	PK336	112	16	211 386 516 527 620 750 762 1039 
174	PK243	106	17	350 
175	PK349	87	3	213 239 283 466 531 596 825 881 903 962 1022 1042 1044 1061 1096 
176	TAYE	113	12	213 433 437 511 588 831 
177	PK180	114	14	216 234 293 334 373 526 548 725 1056 
