Course	Room	Teacher	Time	Students
67	TAYD	56	6	37 46 261 454 475 493 549 575 585 593 622 669 688 702 837 862 868 894 896 899 929 933 942 955 964 974 995 1047 1059 1083 
68	PK349	57	3	38 54 182 193 212 282 300 398 406 413 431 452 526 538 584 701 842 873 991 
69	PK243	58	8	38 204 391 
70	PK243	59	3	116 204 391 462 528 554 
71	EHII	31	9	40 141 156 198 209 372 384 436 513 514 
72	TH224	60	16	40 490 577 622 662 954 1049 
73	TAYD	61	10	41 111 173 183 217 251 252 256 357 375 382 404 427 451 488 547 640 679 685 759 765 785 1069 
74	GIL210	62	1	41 46 484 943 993 1048 1069 
75	TH224	21	5	41 55 110 192 223 273 280 309 485 579 982 
76	EHII	63	14	43 
77	TAYD	64	17	44 69 93 95 102 217 260 289 296 299 315 325 366 440 503 617 
78	TAYE	65	4	44 97 201 265 325 347 440 547 653 841 
79	TAYD	66	14	47 92 97 106 122 138 265 422 447 577 617 635 653 705 732 748 828 979 
80	TH110	67	6	47 93 97 170 297 315 318 459 563 570 616 968 
81	DAL204	68	11	48 114 156 184 339 354 356 545 552 553 738 778 975 
82	DAL204	68	13	48 103 156 168 190 199 239 354 386 430 516 975 
83	TAYD	6	11	50 127 138 195 253 303 457 471 482 500 539 543 544 551 564 595 614 623 635 693 724 733 813 
84	TH224	69	13	52 94 110 130 163 189 224 344 
85	PK25	70	11	54 144 203 209 277 325 380 438 474 512 548 562 731 757 845 
86	PK229	71	1	54 151 180 458 
87	TH110	48	4	54 123 148 186 358 400 430 499 552 693 709 720 807 1088 
88	DAL204	72	17	55 114 211 240 339 344 
89	TH224	73	6	56 248 347 489 505 516 780 844 928 986 1054 1104 
90	TAYE	74	8	57 154 234 280 388 820 
91	TH104	75	7	57 170 444 
92	TH104	76	5	57 62 157 202 
93	TH224	77	14	58 121 140 497 546 612 623 1017 1076 
94	DAL204	78	4	58 120 218 228 236 272 349 399 415 417 441 445 447 468 482 488 489 490 510 561 564 581 624 656 686 744 821 903 
95	EHII	63	5	59 94 296 375 417 432 456 466 566 648 668 757 810 848 
96	EHLEC	79	1	59 292 606 619 809 
97	PK338	35	3	60 74 133 157 169 244 251 252 256 269 284 298 304 305 339 355 393 412 425 446 476 505 542 550 565 582 589 613 616 620 633 691 707 761 798 810 868 889 1036 1055 1088 1089 1091 
98	PK229	42	3	61 151 
99	CARP25	80	3	188 224 225 278 384 657 
100	PK25	81	14	61 74 167 194 242 335 365 380 438 460 548 770 
101	PK25	32	17	62 105 132 162 333 352 441 452 535 
102	DAL204	82	5	63 176 201 307 346 364 371 399 434 486 560 562 567 586 597 619 631 645 659 665 686 745 762 787 799 846 
103	TAYD	83	15	64 75 142 227 237 253 265 327 423 450 550 583 584 602 787 854 856 
104	CARP15	11	3	66 187 365 650 790 
105	TAYE	84	1	68 127 244 325 500 574 605 613 645 654 757 761 
106	TAYD	61	2	70 271 274 475 538 579 590 603 647 661 682 717 776 813 816 863 871 886 894 902 926 945 959 990 1063 1067 1069 1072 1082 1085 1087 1098 
107	DAL105	40	1	77 126 220 505 660 704 786 1019 
108	TH110	39	11	78 81 216 349 982 
109	PK229	70	2	79 132 305 313 
110	EHII	85	10	79 202 283 292 298 369 502 514 533 581 728 
111	TAYF	68	7	80 179 1052 
112	TH224	1	10	80 126 206 338 343 429 480 779 
113	PK338	86	1	80 113 166 381 383 392 396 427 448 463 469 471 491 493 494 503 511 522 537 564 571 572 573 577 586 615 634 638 649 658 680 692 703 716 723 751 779 782 788 812 822 836 841 843 847 849 850 856 858 866 867 870 874 875 884 887 895 899 906 909 910 917 921 923 924 926 929 931 940 944 945 956 957 958 961 963 967 969 972 973 974 980 981 987 988 989 990 991 996 997 998 1000 1001 1002 1006 
114	CARP15	68	5	80 
115	PK25	70	12	82 217 368 409 421 429 460 502 526 531 633 751 829 
116	TAYE	65	5	83 166 188 196 197 217 222 255 285 841 
117	PK338	87	12	85 433 506 575 585 823 
118	PK180	88	3	87 215 264 308 411 414 426 455 519 756 855 
119	PK180	89	7	87 152 229 264 269 308 
120	PK25	90	7	88 89 121 226 256 262 267 271 317 333 449 465 546 549 578 601 681 683 687 719 751 759 783 814 
121	TH224	91	1	88 128 161 273 305 387 431 473 478 497 532 569 579 711 839 863 982 
122	PK243	59	2	88 279 847 906 944 1001 1093 
123	EHII	85	12	91 185 212 318 350 381 419 454 
124	DAL204	92	1	92 145 198 341 394 470 475 490 498 602 617 647 671 672 691 712 715 719 720 738 759 775 787 819 821 848 861 872 892 896 904 916 951 984 985 1007 1008 1012 1028 1041 1042 1054 1056 1058 1068 1073 1078 1080 1086 1088 1094 1099 1102 
125	TAYE	66	13	92 304 
126	CARP25	93	4	94 171 189 224 350 513 
127	CARP25	85	6	94 189 673 
128	GOB	94	7	95 118 165 573 
129	PK25	28	16	96 97 179 208 237 282 397 428 543 995 
130	GOB	95	8	99 565 744 803 
131	TAYE	96	7	99 163 304 305 331 352 439 580 851 
132	CARP25	97	1	100 295 365 643 838 948 1004 1015 1023 1036 1049 1059 1082 1084 1100 
133	EHII	17	4	101 177 250 310 351 369 384 416 443 479 486 514 555 582 662 668 682 716 810 853 
134	TH104	22	1	105 175 223 334 442 
135	TH104	22	2	105 223 334 387 
136	TAYF	27	8	107 527 545 
137	CARP25	72	13	
138	GIL210	43	3	111 135 268 424 
139	GIL210	43	4	112 135 309 492 
140	CARP25	41	2	114 356 381 417 468 477 592 620 621 716 760 835 1013 
141	TAYG	76	2	118 218 298 330 666 853 
142	PK180	98	6	119 160 215 398 411 517 519 589 722 730 
143	TAYD	65	7	127 233 386 503 523 559 605 635 645 743 768 792 799 818 835 860 865 872 882 934 949 986 1071 1073 1079 1092 
144	CARP15	19	2	893 937 1102 
145	TH251	39	2	129 370 390 407 840 876 978 985 
146	TH251	99	5	129 154 
147	TH224	68	4	130 137 151 291 326 332 394 530 533 604 644 669 1028 1035 
148	TH224	73	7	130 190 220 402 416 505 591 694 844 1041 1104 
149	PK243	70	9	137 224 646 
150	TH110	37	2	145 326 341 344 354 357 367 465 486 598 619 649 764 779 783 795 801 823 833 836 846 859 875 890 917 953 957 958 961 975 988 998 1002 1062 
151	TH224	23	17	146 220 429 477 480 530 768 806 
152	TAYE	100	9	147 290 298 596 661 820 
153	PK25	101	6	149 161 191 237 326 359 368 380 384 401 440 443 464 531 583 609 633 650 712 770 773 782 811 849 850 
154	EHII	102	7	155 205 270 327 396 436 513 558 603 684 1036 1059 1100 
155	TH104	103	8	157 169 170 
156	DAL204	104	10	160 182 203 207 316 327 472 491 638 721 794 851 885 
157	PK338	86	10	168 261 432 823 824 833 1086 
158	TAYD	105	1	169 170 171 278 408 480 766 936 950 952 960 1039 1052 1066 1067 1071 1075 1081 1096 
159	DAL105	106	3	171 178 220 395 532 861 
160	EHLEC	107	4	246 251 320 401 532 618 
161	EHLEC	108	5	177 198 388 419 603 676 928 
162	TH110	92	14	182 254 626 754 
163	CARP25	85	5	185 190 598 600 719 1041 
164	PK243	109	10	187 297 413 
165	PK243	110	11	187 413 
166	PK243	111	4	191 274 293 355 361 412 729 737 803 
167	CARP25	23	7	193 410 674 
168	DAL204	49	6	196 414 426 430 436 556 572 594 623 741 778 805 813 870 874 904 925 951 972 977 981 1038 1044 1074 1086 
169	TH104	30	6	199 331 803 1063 
170	GOB	91	9	202 249 340 
171	CARP25	80	8	203 555 797 
172	TAYF	36	1	210 299 422 534 536 558 563 599 733 767 820 834 
173	DAL204	112	14	211 386 516 527 620 750 762 1039 
174	CARP25	106	12	
175	PK338	87	7	213 239 283 466 531 596 825 881 903 962 1022 1042 1044 1061 1096 
176	CARP13	113	1	213 433 437 588 831 
177	EHLEC	114	3	234 334 548 725 1056 
178	EHII	38	3	216 250 270 312 321 328 369 372 373 375 376 381 405 416 419 432 454 456 464 488 533 590 676 694 
179	CARP13	115	3	219 245 1101 
180	PK25	109	8	221 462 508 520 537 609 670 697 721 729 731 762 777 784 811 844 852 864 869 936 949 1081 1082 
181	TH224	112	15	226 317 415 431 434 437 497 574 
182	TAYD	44	13	228 322 522 525 594 600 605 697 712 722 724 749 758 822 865 916 925 951 1034 1079 1092 
183	EHLEC	114	2	287 369 504 528 533 662 754 762 868 1004 
184	TH110	116	12	254 288 415 538 581 
185	EHII	63	13	258 297 561 658 760 860 934 
186	PK243	117	6	274 355 412 413 492 
187	TH110	67	3	275 402 479 501 639 652 671 677 690 719 734 785 788 792 839 915 954 980 1003 1070 1099 
188	GOB	118	2	276 534 637 872 878 1052 
189	TH224	112	11	379 435 559 578 594 792 830 833 
190	PK349	119	6	279 696 
191	CARP15	20	6	
192	TH251	94	4	279 390 477 
193	TAYG	38	4	283 725 
194	TH251	99	3	292 294 637 776 1060 1076 
195	CARP17	120	2	295 363 611 810 
196	TAYE	121	10	299 304 792 800 866 886 
197	CARP25	97	9	301 628 1085 
198	CARP13	113	4	304 
199	GOB	122	10	306 716 
200	GOB	2	12	309 
201	TAYF	49	5	312 543 718 969 
202	TAYG	8	3	483 496 680 718 865 
203	TH104	123	9	316 622 
204	GOB	124	6	320 578 642 689 1016 
205	PK349	125	1	322 521 524 630 632 655 664 670 690 717 734 742 749 774 776 780 793 795 802 804 824 826 860 862 865 868 869 871 873 876 877 878 879 881 882 883 886 889 890 891 893 894 897 900 902 903 905 907 908 911 912 914 919 920 922 925 927 928 930 933 934 
206	TAYE	105	11	328 596 646 691 737 869 
207	TAYF	126	9	332 738 805 
208	TH104	123	10	340 393 
209	TH224	1	3	356 362 609 624 625 655 670 784 793 852 869 893 902 935 937 940 1004 1073 1094 1102 
210	CARP21	127	1	356 646 663 688 737 
211	TH110	128	9	360 654 706 726 745 948 996 1054 1055 1068 
212	TAYD	129	5	362 379 428 457 472 494 513 515 556 587 630 634 636 644 684 689 708 769 809 811 828 844 852 882 895 904 923 947 959 993 997 1035 
213	GIL210	119	5	367 599 823 
214	GOB	25	5	431 497 857 878 911 1068 
215	PK338	119	14	371 575 618 704 
216	TAYE	64	6	373 547 832 858 884 1006 1045 1087 1091 1097 
217	TAYD	83	16	379 383 404 423 536 551 574 602 614 615 693 697 721 724 766 787 834 
218	PK180	89	4	389 493 494 571 776 836 871 913 963 1011 1015 1049 1066 1083 1090 1104 
219	CARP25	23	10	394 402 673 
220	TH110	94	10	406 508 557 655 675 784 811 893 938 1085 
221	CARP25	68	14	410 
222	PK243	110	12	412 473 
223	PK338	119	16	433 
224	GOB	124	3	723 763 804 901 941 1022 1098 
225	TH104	103	3	491 603 740 805 992 
226	TAYF	6	10	553 
227	GOB	95	11	565 834 
228	TH251	94	1	1018 1057 
229	PK338	130	4	588 599 610 632 641 651 664 675 690 717 772 795 808 827 837 876 877 879 880 882 883 898 905 907 908 933 942 946 948 953 964 971 983 1007 1019 1020 1040 1072 1079 1084 1093 1103 
230	PK243	58	5	606 660 710 741 
231	TAYF	27	11	616 
232	GIL210	121	6	620 838 851 
233	CARP17	120	1	653 771 778 857 
234	DAL204	75	16	707 864 885 1016 1032 1091 1097 
235	PK180	131	5	717 772 826 907 908 978 991 1016 1018 1019 1026 1070 1072 1103 
236	TAYG	74	5	760 
237	TAYF	64	12	778 
238	CARP13	115	2	830 1008 1017 1038 
239	CARP17	120	3	860 881 989 
240	TH104	76	11	864 
241	TAYE	132	14	1012 
