Course	Room	Teacher	Time	Students
60	PK338	38	16	34 137 143 150 172 189 195 198 254 301 303 310 320 324 405 596 611 832 871 1574 
61	PK179	4	7	36 75 105 125 130 281 285 477 542 590 672 721 998 1437 1575 1630 
62	PK278	4	8	36 38 69 75 82 105 115 120 130 205 277 281 348 353 477 505 593 672 679 680 684 710 851 1437 
63	PK338	51	17	36 99 108 291 364 365 376 380 445 458 501 505 635 705 847 864 873 1476 1488 1531 1644 
64	TH224	52	10	36 505 575 732 885 954 
65	CARP21	19	14	473 568 737 775 786 805 1447 1473 1476 1489 
66	CARP25	53	17	38 152 243 290 
67	CARP21	54	10	11 40 56 73 388 397 424 426 440 444 601 664 675 1449 
68	CARP21	55	3	40 73 137 150 172 195 198 303 310 405 611 683 1475 
69	PK179	56	1	40 47 48 67 86 91 107 108 109 133 139 160 161 337 352 429 565 703 820 900 922 996 
70	DAL300	57	1	42 318 355 435 536 698 1552 
71	PK25	58	6	44 93 206 226 268 274 300 305 331 372 387 574 585 619 657 769 1476 1483 1485 
72	PK20	55	4	45 219 223 224 225 226 230 232 252 287 306 307 312 330 331 334 361 367 372 411 412 448 450 451 452 453 490 516 519 521 549 551 574 576 583 587 616 633 650 686 720 731 756 766 770 778 785 1122 1132 1139 1148 1151 1178 1190 1193 1205 1239 1242 1245 1250 1262 1275 1276 1283 1314 1321 1363 1368 1370 1379 1391 1401 1429 1476 1484 1554 1556 
73	PK338	59	10	45 46 55 122 128 132 283 284 291 416 442 499 510 666 701 704 841 888 1526 1569 
74	PK336	25	9	38 48 105 130 290 597 711 1641 
75	DAL315	35	7	49 168 339 359 413 656 795 996 1073 1536 1589 
76	CARP21	60	4	124 429 573 589 635 642 690 1047 1066 1271 
77	PK179	61	11	50 104 281 313 338 352 394 512 540 550 552 594 687 1611 
78	PK25	13	7	25 51 558 636 651 693 759 809 827 889 898 936 960 1111 1164 1191 1222 1298 1479 
79	PK234	62	15	51 87 275 377 392 475 723 821 1581 
80	PK338	63	4	52 95 255 304 326 409 449 632 641 725 746 761 769 874 944 1089 1096 1458 1615 1631 
81	PK20	64	13	52 127 135 148 178 216 256 296 323 332 356 486 520 619 622 638 661 714 730 747 761 763 789 1060 1119 1152 1154 1192 1214 1223 1236 1244 1257 1279 1284 1288 1292 1311 1317 1318 1341 1379 1418 1491 1525 1566 1576 1636 
82	PK336	65	17	53 372 485 500 517 593 774 1409 
83	PK179	24	15	54 170 307 384 406 708 803 861 870 882 939 951 1440 1457 
84	CARP25	66	2	55 519 534 1293 1541 
85	TAYF	67	11	55 243 283 860 
