Course	Subject	Room	Teacher	Time	Students
1	ENGL2	TH110	1	2	1 30 129 208 256 267 274 381 432 510 556 583 691 711 718 731 856 1181 1268 1479 
2	CITY1	PK338	2	8	2 145 204 238 247 285 329 337 375 383 416 475 731 776 807 871 913 970 994 1027 1033 1071 1077 1103 1142 1363 1397 1411 1497 1511 1536 1545 1547 1573 1586 
3	CITY2	PK243	3	14	2 156 278 433 475 479 688 730 745 1124 1343 1391 1411 
4	CITY2	PK349	4	1	2 88 122 204 238 289 337 358 561 663 712 730 1102 1414 
5	ARTW2	PK234	5	6	3 51 141 267 418 607 689 1332 1342 1498 
6	ENGL3	PK338	6	9	3 9 10 11 12 24 29 31 45 51 62 63 65 78 83 87 96 121 260 261 273 275 317 364 395 406 425 442 495 507 556 607 741 
7	BIOL2	PK338	7	6	4 21 23 35 39 70 98 106 114 140 150 170 182 206 263 265 272 276 296 325 361 368 409 454 483 486 498 505 554 590 594 677 686 1188 1299 1318 
8	BIOL2	TH110	8	7	4 102 104 136 153 170 203 243 283 364 399 413 502 725 878 1083 1126 1188 1191 1316 1375 
9	CHEM1	DAL119	9	13	4 203 243 285 300 846 1016 
10	SPAN1	PK20	10	15	4 109 124 195 227 297 302 304 329 350 384 385 420 423 488 529 534 536 564 582 644 651 706 726 738 739 774 783 813 815 833 854 864 877 914 918 931 936 937 939 963 1100 1132 1139 1170 1179 
11	PHIL3	TAYD	11	14	5 46 74 434 448 467 674 1161 
12	SPAN2	PK278	12	10	5 145 378 455 457 476 489 801 807 840 851 882 906 1006 1019 1512 1549 
13	CITY3	PK180	13	1	6 34 40 52 71 89 269 316 319 372 397 404 448 450 527 548 595 609 661 667 681 683 1199 1226 1240 1244 1253 1275 1339 
14	HIST3	PK243	14	15	7 13 27 76 318 360 447 590 679 1212 1225 1236 
15	FREN2	PK229	15	5	8 234 271 508 757 1450 1551 
16	FREN3	PK25	15	2	8 271 424 1209 1312 
17	ENGL3	PK278	16	2	10 12 55 63 125 139 255 279 364 369 412 414 551 702 879 
18	LATN1	PK243	17	16	11 197 282 345 432 587 643 786 828 890 930 
19	HART3	PK25	18	3	11 86 119 256 595 1345 
20	HIST2	PK180	19	16	12 126 139 199 221 407 447 460 465 491 521 531 630 724 848 964 1131 1220 1413 1422 1537 
21	GERM0	PK349	20	2	13 53 170 199 232 273 789 839 946 1003 1021 1027 1055 1057 1071 
22	HIST3	PK278	21	11	13 76 279 335 471 494 590 660 676 1096 1267 1271 1321 1390 1415 1422 1433 
23	ENVS3	PK243	22	6	14 30 34 69 89 90 95 312 372 609 1304 1307 1339 
24	PHYS1	PK20	23	10	14 58 68 92 102 114 154 180 189 203 206 207 223 231 233 268 292 297 323 326 330 344 354 361 462 491 527 532 541 553 599 622 627 736 754 763 764 1192 1196 1217 1243 1259 1261 1270 1292 1308 1327 1377 1392 1395 1415 1446 1459 1472 
25	BIOL3	PK278	24	12	14 93 97 114 118 265 320 348 358 361 409 442 468 498 505 594 1264 
26	ANTH3	PK180	25	7	15 17 32 42 50 69 77 80 85 90 99 253 257 277 363 371 407 503 601 602 665 702 742 1093 1202 1214 
27	CHEM2	TH110	26	13	16 36 106 112 128 140 166 168 169 171 182 206 325 327 353 522 662 750 1120 1314 
28	ENGL3	PK349	27	3	16 24 38 78 335 379 480 507 607 735 1425 1476 1528 
29	ANTH3	PK180	28	2	17 42 60 77 80 90 113 126 138 149 257 277 283 286 363 408 476 601 602 604 665 676 742 1093 1202 1214 
30	SPAN3	PK25	29	4	17 81 
31	LATN3	DAL300	30	4	18 439 
32	ARTW2	PK349	31	11	19 255 272 395 412 546 585 592 600 605 657 672 820 1468 
33	HART1	PK349	18	4	19 119 135 146 644 653 691 731 810 923 967 986 1173 1227 1480 1496 
34	MATH1	PK20	32	2	9 19 183 210 217 225 227 228 237 282 290 296 301 304 305 316 319 322 346 347 389 392 393 415 418 423 427 433 475 485 503 519 533 549 586 613 635 654 692 695 697 710 716 725 772 777 780 786 790 791 794 797 798 801 802 817 818 819 821 823 833 838 841 853 859 861 863 883 885 889 890 893 896 897 904 920 925 930 932 934 937 950 952 963 971 973 974 976 979 981 992 1000 1012 1019 1035 1036 1037 1039 1040 1042 1047 1048 1051 1059 1073 1076 1096 1115 1133 1138 1156 1165 1273 1383 1441 1489 1506 1509 
35	SPAN2	PK349	33	5	20 363 429 485 619 634 771 892 893 970 1115 1347 
36	CMSC2	PK336	34	5	22 95 113 148 176 287 311 333 359 597 766 
37	BIOL3	TAYD	35	15	23 44 97 313 542 1191 
38	POLS3	PK180	36	14	25 28 37 43 67 73 79 98 230 266 314 321 365 367 370 373 400 424 463 664 671 678 755 1167 1179 1238 
39	HART3	PK349	37	12	26 55 264 346 403 518 675 676 702 722 1195 1248 1349 1369 1593 
40	HART3	TAYD	38	5	26 49 289 440 540 643 675 1207 1293 1456 
41	PSYC2	PK180	39	17	28 37 39 97 104 120 134 157 212 246 262 384 453 467 477 618 622 646 723 1082 1408 1436 1468 1469 
42	ENGL3	PK234	40	7	10 30 88 260 267 275 406 474 511 556 741 1064 
43	GEOL3	TH110	41	14	30 33 47 58 258 290 310 315 333 356 362 455 469 513 516 1241 1273 1281 1336 1409 
44	ARTW2	PK243	42	5	31 124 408 421 463 480 496 507 521 562 621 704 1444 
45	ANTH1	PK20	43	17	32 100 109 135 189 235 519 563 564 577 581 637 644 669 719 761 792 793 796 816 819 824 827 836 840 850 881 882 888 904 919 941 954 975 1006 1019 1043 1069 1088 1170 1214 1538 1541 
46	CITY3	PK243	13	7	34 278 404 448 527 673 692 756 1177 1209 1245 1253 1307 1434 
47	CHEM2	TH110	44	8	36 106 112 128 140 166 168 169 171 182 206 325 327 353 417 522 552 662 750 1120 1198 1294 
48	CHEM2	TH110	45	15	36 106 112 128 140 166 168 169 171 182 206 325 327 353 522 552 603 662 750 1120 
49	CSTS1	TAYD	17	17	156 778 970 983 1353 
50	ENGL2	PK349	16	6	38 158 191 220 280 334 335 351 381 412 493 521 637 831 1096 
51	HART1	PK234	37	8	40 132 215 526 841 978 1059 1063 1284 1309 1468 1513 
52	BIOL2	PK338	46	15	41 54 104 118 127 136 167 178 189 200 212 324 326 371 453 486 494 498 573 620 621 735 1113 1137 1164 1208 1219 1264 1549 1595 
53	POLS3	PK278	47	13	43 60 73 84 98 109 366 437 671 1214 1228 1235 1239 1251 1260 1317 1337 
54	BIOL3	PK234	48	9	44 127 147 150 234 244 313 494 541 1318 
55	ARTW3	TAYD	49	6	45 63 115 261 495 1202 1329 1381 
56	ENGL2	PK349	50	13	45 125 215 275 305 406 515 732 809 1084 1117 1123 1143 1350 
