Course	Room	Teacher	Time	Students
1	EHLEC	1	2	1 19 208 256 267 274 304 305 381 432 510 556 583 691 718 731 1181 1268 
2	TH110	2	3	2 145 204 238 247 285 329 337 375 383 416 475 731 776 807 871 913 970 994 1027 1033 1071 1077 1103 1142 1363 1397 1411 1497 1511 1536 1545 1547 1573 1586 
3	TH110	3	17	2 156 278 433 475 479 688 730 745 1124 1343 1391 1411 
4	TH110	4	13	2 88 122 204 238 289 316 337 358 561 663 681 712 730 1102 1414 
5	EHI	5	4	3 51 141 267 381 418 607 689 1332 1342 1498 
6	EHLEC	6	1	3 10 12 24 29 31 45 51 62 63 65 78 83 87 255 260 261 273 275 317 364 395 406 425 442 495 556 607 741 
7	PK20	7	3	4 21 23 35 39 70 98 106 114 140 150 170 182 206 263 265 272 276 296 325 361 368 409 454 483 486 498 505 554 590 594 677 686 1188 1299 1318 
8	PK20	8	5	4 102 104 136 153 170 203 243 277 283 364 399 413 502 725 878 1083 1126 1188 1191 1316 1375 
9	PK180	9	7	4 203 243 285 300 641 846 1016 
10	BYC127	10	1	4 109 124 195 302 350 384 385 420 488 529 534 582 644 706 726 931 936 1100 1139 1170 1179 
11	DAL300	11	13	5 46 74 341 434 448 467 674 1161 
12	BYC127	12	6	5 145 378 455 457 489 801 807 840 851 882 906 1006 1019 1512 1549 
13	TH110	13	5	6 34 40 52 71 89 269 316 319 372 397 404 448 450 527 548 595 609 661 667 681 683 1199 1226 1240 1244 1253 1275 1339 
14	DAL119	14	17	7 27 276 318 360 447 679 1212 1225 1236 
15	TAYG	15	3	8 234 271 508 757 1450 
16	TAYG	15	5	8 271 424 1209 1312 
17	EHLEC	16	5	10 12 55 63 125 255 279 369 381 412 414 551 556 602 702 879 
18	TH121	17	1	345 421 643 724 
19	CARP21	18	13	11 86 119 256 595 1345 
20	TAYD	19	11	12 126 139 199 221 407 447 460 465 491 512 521 531 630 698 724 732 848 964 1131 1220 1413 1422 1537 
21	TAYSEM	20	1	13 53 170 199 232 946 1021 1027 1055 1071 
22	TAYD	21	17	13 76 279 335 471 494 590 660 676 1096 1267 1271 1321 1390 1415 1422 1433 
23	DAL119	22	14	14 30 34 69 89 90 95 269 312 372 609 1304 1307 1339 
24	PK278	23	1	14 58 92 102 114 154 180 189 203 206 207 231 268 297 330 361 462 527 541 553 599 622 627 736 754 763 1192 1196 1217 1243 1259 1261 1270 1292 1308 1327 1377 1392 1395 1415 1446 1459 1472 
25	PK20	24	6	14 93 97 114 118 265 320 348 358 361 409 442 468 498 505 594 1264 
26	TAYD	25	8	15 17 32 42 50 60 69 77 80 85 90 99 253 257 277 363 371 407 503 601 602 702 742 1093 1202 1214 
27	PK180	26	4	16 36 106 112 128 140 166 168 169 171 182 206 325 327 353 522 662 750 1120 1314 
