Course	Room	Teacher	Time	Students
1	DAL25	1	8	1 950 976 1049 1166 
2	PK338	2	1	2 80 123 146 191 284 318 437 456 488 496 513 539 561 588 595 608 612 617 650 659 669 697 701 710 729 734 756 767 770 775 777 789 810 811 815 817 819 824 837 846 852 875 881 888 889 895 905 907 912 915 928 936 942 943 944 945 950 951 967 994 998 1007 1009 1010 1030 1041 1052 1054 1058 1064 1070 1078 1081 1084 1087 1094 1095 1106 1113 1115 1121 1122 1124 1133 1134 1146 1150 1152 
3	TH110	3	8	3 38 40 97 117 215 218 233 234 280 302 377 443 519 564 
4	GOB	4	3	4 208 269 513 539 548 549 569 596 633 635 646 650 669 692 693 697 734 759 863 898 921 929 942 954 956 961 977 1007 1011 1014 1018 1024 1025 1031 1032 1036 1038 1042 1055 1071 1084 1108 1111 1122 1124 1127 1128 1135 1153 
5	EHLEC	5	1	5 8 14 21 29 63 77 82 83 120 133 136 142 151 157 163 164 171 180 189 193 197 222 237 239 259 273 274 279 287 296 315 327 353 366 
6	CARP21	6	3	6 48 57 64 68 319 359 395 413 417 423 457 475 572 601 627 645 660 706 713 735 781 798 807 856 899 922 1034 
7	DAL300	7	15	6 13 179 187 224 255 266 299 302 320 330 340 341 352 519 
8	PK229	8	2	7 10 19 40 242 401 428 473 476 521 523 542 610 674 678 680 697 702 704 711 714 718 722 723 732 734 737 765 806 808 822 830 859 889 894 947 954 988 998 1046 1070 1084 1087 
9	PK229	9	1	7 167 254 334 460 551 620 622 642 671 672 680 694 748 782 783 791 822 838 843 866 869 908 934 937 989 1004 1006 1018 1022 1038 1069 1074 1077 1097 1099 1105 1116 1120 1132 1154 1160 
10	PK243	10	1	10 19 41 66 110 115 131 195 203 277 389 390 405 416 431 449 477 495 498 500 503 533 567 688 705 709 714 731 779 804 841 876 
11	DAL119	11	4	8 39 59 82 111 158 543 652 
12	TAYF	12	6	9 32 163 239 284 
13	TAYF	13	12	9 491 935 
14	PK229	14	3	10 19 175 255 360 410 416 419 456 504 511 556 562 573 592 598 670 674 701 705 709 711 718 723 731 732 751 779 784 804 806 808 809 826 830 841 853 860 861 868 876 880 886 917 972 1026 1054 1073 1136 1146 1157 
15	PK25	15	8	11 
16	PK338	16	2	11 18 64 257 369 410 416 457 556 625 630 670 671 679 705 707 709 716 736 745 747 751 760 766 779 784 787 809 814 826 833 841 842 843 848 857 860 863 868 876 880 887 891 901 906 917 918 925 957 970 974 1016 1040 1042 1057 1100 1105 1111 1132 
17	GOB	17	14	12 140 610 698 771 783 895 
18	TH224	18	5	14 54 599 1048 1089 
19	EHLEC	19	10	14 133 139 142 151 163 171 180 189 258 273 274 296 328 441 485 
20	DAL300	20	3	15 36 106 130 132 160 170 182 206 267 268 271 282 312 324 349 371 383 397 458 477 505 516 520 546 568 
21	GOB	21	6	15 36 129 138 145 160 176 206 267 268 297 349 
22	PK25	21	4	15 254 297 546 
23	GOB	22	5	15 24 36 57 160 331 527 540 605 677 721 735 859 
24	GOB	23	12	16 178 217 228 293 294 310 339 
25	PK229	24	11	17 54 175 195 275 374 389 425 495 505 554 555 
26	DAL119	25	5	17 30 102 124 158 424 615 765 
27	DAL119	25	6	17 158 177 196 389 450 730 922 
